gameId,role,name,firstName,familyName
2702608,referee1,Bob Bhania,Bob,Bhania
2702608,referee2,Matthew Godsall,Matthew,Godsall
2702608,referee3,Joan Laplana,Joan,Laplana
2702609,commissioner, ,,
2702609,referee1,Steve Stredwick,Steve,Stredwick
2702609,referee2,Matthew Godsall,Matthew,Godsall
2702609,referee3,Jack Davies,Jack,Davies
2702610,referee1,Christopher Dodds,Christopher,Dodds
2702610,referee2,Ingus Bankevics,Ingus,Bankevics
2702610,referee3,Matthew Armstrong,Matthew,Armstrong
2702611,referee1,Christopher Dodds,Christopher,Dodds
2702611,referee2,Ingus Bankevics,Ingus,Bankevics
2702611,referee3,Lino Figueiredo,Lino,Figueiredo
2702612,referee1,Bob Bhania,Bob,Bhania
2702612,referee2,Robert Leszczyk,Robert,Leszczyk
2702612,referee3,Monika Winiarska,Monika,Winiarska
2702613,commissioner, ,,
2702613,referee1,Christopher Dodds,Christopher,Dodds
2702613,referee2,Matthew Godsall,Matthew,Godsall
2702613,referee3,Joan Laplana,Joan,Laplana
2702614,referee1,Paul Walton,Paul,Walton
2702614,referee2,Jonathan Vickerstaff,Jonathan,Vickerstaff
2702614,referee3,Lino Figueiredo,Lino,Figueiredo
2702615,commissioner, ,,
2702615,referee1,Paul Walton,Paul,Walton
2702615,referee2,Matthew Armstrong,Matthew,Armstrong
2702615,referee3,Jose Fuentes,Jose,Fuentes
2702616,referee1,Noel Malone,Noel,Malone
2702616,referee2,Bob Bhania,Bob,Bhania
2702616,referee3,Jack Davies,Jack,Davies
2702617,commissioner, ,,
2702617,referee1,Bob Bhania,Bob,Bhania
2702617,referee2,Harvey West,Harvey,West
2702617,referee3,Robert Leszczyk,Robert,Leszczyk
2702618,referee1,Christopher Dodds,Christopher,Dodds
2702618,referee2,Jonathan Vickerstaff,Jonathan,Vickerstaff
2702618,referee3,Ingus Bankevics,Ingus,Bankevics
2702619,referee1,Ingus Bankevics,Ingus,Bankevics
2702619,referee2,Paul Walton,Paul,Walton
2702619,referee3,Matthew Armstrong,Matthew,Armstrong
2702620,commissioner, ,,
2702620,referee1,Paul Walton,Paul,Walton
2702620,referee2,Matt Lloyd,Matt,Lloyd
2702620,referee3,Tom Muddiman,Tom,Muddiman
2702621,referee1,Jonpaul Heron,Jonpaul,Heron
2702621,referee2,Tom Muddiman,Tom,Muddiman
2702621,referee3,Joe Hodgson,Joe,Hodgson
2702622,commissioner, ,,
2702622,referee1,Steve Stredwick,Steve,Stredwick
