country,league,season,scraped_at,Player,player_url,player_name,Nationality,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Germany,ProA,2025-2026,2026-05-07T15:45:12.324323,Razdevsek Jan 191-PG-25,https://basketball.eurobasket.com/player/Razdevsek-Jan/438119,Jan Razdevsek,SLO,191,PG,25,2,3.0,8.5,5.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,50.0,1.5,1.5,100.0,2.0,0.5,25.0,1.5,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:12.600763,Regorsek Teodor 206-C-20,https://basketball.eurobasket.com/player/Regorsek-Teodor/658409,Teodor Regorsek,SLO,206,C,20,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crailsheim,CRAI,https://basketball.eurobasket.com/team/HAKRO-Merlins-Crailsheim/2315
Germany,ProA,2025-2026,2026-05-07T15:45:12.849321,Rieck Fynn 196-SG-16,https://basketball.eurobasket.com/player/Rieck-Fynn/749332,Fynn Rieck,GER,196,SG,16,3,0.3,2.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,0.0,0.0,0.0,Koeln,KOEL,https://basketball.eurobasket.com/team/RheinStars-Koeln/18618
Germany,ProA,2025-2026,2026-05-07T15:45:13.102322,Rissetto Anzac 208-F/C-25,https://basketball.eurobasket.com/player/Rissetto-Anzac/476774,Anzac Rissetto,NZL,208,F/C,25,19,3.8,16.5,5.9,3.2,1.2,2.1,0.6,0.1,0.3,2.7,2.7,1.5,55.6,3.2,2.1,65.6,0.6,0.1,16.7,0.9,Phoenix Hagen,PHOE,https://basketball.eurobasket.com/team/Phoenix-Hagen/2480
Germany,ProA,2025-2026,2026-05-07T15:45:13.358361,Rohwer Bjorn 213-C-31,https://basketball.eurobasket.com/player/Rohwer-Bjorn/247984,Bjorn Rohwer,GER,213,C,31,27,8.3,21.8,11.9,4.4,1.8,2.6,0.9,0.1,0.4,3.3,2.7,2.1,77.8,6.0,3.2,53.3,2.2,1.0,45.5,1.5,Koeln,KOEL,https://basketball.eurobasket.com/team/RheinStars-Koeln/18618
Germany,ProA,2025-2026,2026-05-07T15:45:13.625455,Ruano Alejandro 177-G-19,https://basketball.eurobasket.com/player/Ruano-Alejandro/710633,Alejandro Ruano,GER,177,G,19,3,0.7,10.3,1.0,0.3,0.0,0.3,1.7,0.0,0.3,1.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.3,30.0,0.7,Bremerhaven,BREM,https://basketball.eurobasket.com/team/Eisbaeren-Bremerhaven/2476
Germany,ProA,2025-2026,2026-05-07T15:45:13.879772,Russell Cedric 188-G-27,https://basketball.eurobasket.com/player/Russell-Cedric/431006,Cedric Russell,USA,188,G,27,21,9.8,28.9,14.7,2.8,0.3,2.5,2.0,0.0,0.7,2.0,1.7,1.4,82.4,4.5,2.4,53.3,7.1,2.8,39.4,1.7,Koeln,KOEL,https://basketball.eurobasket.com/team/RheinStars-Koeln/18618
Germany,ProA,2025-2026,2026-05-07T15:45:14.137878,Russell Phillip 178-PG-27,https://basketball.eurobasket.com/player/Russell-Phillip/500430,Phillip Russell,USA,178,PG,27,26,10.8,27.5,15.5,1.8,0.5,1.3,3.7,0.0,1.1,2.7,4.5,3.6,80.0,4.0,1.9,47.5,6.6,2.7,40.9,1.9,Kirchheim,KIRC,https://basketball.eurobasket.com/team/Bozic-Estriche-Knights-Kirchheim/4190
Germany,ProA,2025-2026,2026-05-07T15:45:14.390597,Saizonou Joryam 190-G-24,https://basketball.eurobasket.com/player/Saizonou-Joryam/479391,Joryam Saizonou,NED,190,G,24,4,-0.8,6.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.3,0.5,38.5,0.5,0.0,0.0,1.0,Wolmirstedt,WOLM,https://basketball.eurobasket.com/team/SBB-Baskets-Wolmirstedt/3362
Germany,ProA,2025-2026,2026-05-07T15:45:14.647733,Samare Jordan 202-PF-24,https://basketball.eurobasket.com/player/Samare-Jordan/451964,Jordan Samare,GER,202,PF,24,26,6.3,17.9,7.8,3.5,1.6,1.9,0.9,0.2,0.4,2.3,3.1,2.1,67.7,4.5,2.6,57.8,0.4,0.2,50.0,1.1,Bremerhaven,BREM,https://basketball.eurobasket.com/team/Eisbaeren-Bremerhaven/2476
