Canonical,Team,Numbers,Variations
Patrick Etienne Fardy Emilien,Tigers Tübingen,15,Patrick Etienne Fardy Emilien
David Koch,Bayer Giants Leverkusen,26,David Koch
Joshua Schwaibold,Tigers Tübingen,19,Joshua Schwaibold
De'Vondre Malik Perry,SBB Baskets,4,De'Vondre Malik Perry
Eyassu Worku,Paderborn Baskets,24,Eyassu Worku
Devonte Jasai McCall,EPG Baskets Koblenz,11,Devonte Jasai McCall
Evan Walshe,Eisbären Bremerhaven,77,Evan Walshe
Emil Bode,BG Göttingen,5,Emil Bode
Marko Cuvalo,RheinStars Köln,14,Marko Cuvalo
Alejandro Ruano Garayoa,Eisbären Bremerhaven,33,Alejandro Ruano Garayoa
Willem Brandwijk,BBC Bayreuth,39,Willem Brandwijk
Dominique Kevin Johnson,Eisbären Bremerhaven,25,Dominique Kevin Johnson
Abu Kigab,GIESSEN 46ers,47,Abu Kigab
unbekannt,PS Karlsruhe LIONS,10,Player 10
Basla Veljic,Paderborn Baskets,18,Basla Veljic; Balsa Veljic
Yannick von Hain,SBB Baskets,8,Yannick von Hain
Nigel Pruitt,SBB Baskets,24,Nigel Pruitt
Thorben Döding,Uni Baskets Münster,11,Thorben Döding
Henning Gustrau,VfL SparkassenStars Bochum,21,Henning Gustrau
Larry Matthew Thomas,Tigers Tübingen,0,Larry Matthew Thomas
Philip Anthony Alston,Uni Baskets Münster,55,Philip Anthony Alston
Kenny André Calliste Kéannou Baptiste,RheinStars Köln,39,Kenny André Calliste Kéannou Baptiste
Lok Lol Wur,Bayer Giants Leverkusen,4,Lok Lol Wur
Deshon Davion Taylor,Uni Baskets Münster,21,Deshon Davion Taylor
Ryan Schwieger,Phoenix Hagen,3,Ryan Schwieger
Curtis Tarell Jones Jr,Uni Baskets Münster,27,Curtis Tarell Jones Jr
Jordan Nathaniel Johnson,Tigers Tübingen,11,Jordan Nathaniel Johnson
Luka Zajic,VfL SparkassenStars Bochum,2,Luka Zajic
Kevin Wohlrath,SBB Baskets,22,Kevin Wohlrath
Aitor Julen Pickett Lazo,VfL SparkassenStars Bochum,99,Aitor Julen Pickett Lazo
Raul Dumnici,Nürnberg Falcons BC,8,Raul Dumnici
Georgios Gkiouzelis,Nürnberg Falcons BC,12,Georgios Gkiouzelis
Kyle Sturdivant,BBC Bayreuth,0,Kyle Sturdivant
Jonathan Zeisberger,BBC Bayreuth,30,Jonathan Zeisberger
Nejc Tevzic,GIESSEN 46ers,6,Nejc Tevzic
Lukas Stelmokas,Eisbären Bremerhaven,14,Lukas Stelmokas
Limana Lilonge Adoyi,BBC Bayreuth,21,Limana Lilonge Adoyi
Djairo Bernardina,Artland Dragons,5,Djairo Bernardina
Jug Bogdan,Bayer Giants Leverkusen,5,Jug Bogdan
TJ Bamba,RASTA Vechta,5,TJ Bamba
Luc van Slooten,RASTA Vechta,6,Luc van Slooten
Joschka Ferner,RASTA Vechta,9,Joschka Ferner
Tevin Brown,RASTA Vechta,10,Tevin Brown
Alonzo Verge Jr.,RASTA Vechta,11,Alonzo Verge Jr.
Tommy Kuhse,RASTA Vechta,12,Tommy Kuhse
Philipp Herkenhoff,RASTA Vechta,14,Philipp Herkenhoff
Lars Thiemann,RASTA Vechta,21,Lars Thiemann
Malcolm Dandridge,RASTA Vechta,23,Malcolm Dandridge
Roy Krupnikas,RASTA Vechta,24,Roy Krupnikas
Lloyd Pandi,RASTA Vechta,41,Lloyd Pandi
Player#,Phoenix Hagen,,Player#
Jeff Garrett,Telekom Baskets Bonn,4,Player 4
Michael Kessens,Telekom Baskets Bonn,6,Michael Kessens; Player 6
Tylan Birts,Telekom Baskets Bonn,5,Player 5; Tylan Birts
Grayson Murphy,Telekom Baskets Bonn,7,Player 7; Grayson Murphy
Alijah Comithier,Telekom Baskets Bonn,2,Alijah Comithier
Jongkuch Kur,Telekom Baskets Bonn,15,Jongkuch Kur
Joel Aminu,Telekom Baskets Bonn,21,Player 21; Joel Aminu
Jorge Mejias,Telekom Baskets Bonn,10,Jorge Mejias
Melvin Jostmann,Telekom Baskets Bonn,12,Melvin Jostmann
Logan Johnson,SKYLINERS,0,Logan Johnson
Isaiah Swope,SKYLINERS,1,Isaiah Swope
Garai Zeeb,SKYLINERS,3,Garai Zeeb
Nahiem Alleyne,SKYLINERS,4,Nahiem Alleyne
Jamie Edoka,SKYLINERS,5,Jamie Edoka
William Christmas,SKYLINERS,8,William Christmas
Jaedon Le Dee,SKYLINERS,13,Jaedon Le Dee
Radii Caisin,SKYLINERS,16,Radii Caisin
Till Pape,SKYLINERS,19,Till Pape
Ryan Hawkins,SKYLINERS,33,Ryan Hawkins
Babacar Sane,MHP RIESEN Ludwigsburg,0,Babacar Sane
Traveon Buchanan,MHP RIESEN Ludwigsburg,2,Traveon Buchanan
Stefan Smith,MHP RIESEN Ludwigsburg,3,Stefan Smith
Johannes Patrick,MHP RIESEN Ludwigsburg,6,Johannes Patrick
Elijah Hughes,MHP RIESEN Ludwigsburg,7,Elijah Hughes
Lenny Anigbata,MHP RIESEN Ludwigsburg,12,Lenny Anigbata
Yorman Polas Bartolo,MHP RIESEN Ludwigsburg,13,Yorman Polas Bartolo
Jonas Wohlfarth-Bottermann,MHP RIESEN Ludwigsburg,18,Jonas Wohlfarth-Bottermann
Brandon Tischler,MHP RIESEN Ludwigsburg,24,Brandon Tischler
Keeshawn Kellman,MHP RIESEN Ludwigsburg,32,Keeshawn Kellman
Julis Baumer,MHP RIESEN Ludwigsburg,37,Julis Baumer
Lukas Modic,MHP RIESEN Ludwigsburg,38,Lukas Modic
Leonard Jr. Thorpe,Veolia Towers Hamburg,2,Leonard Jr. Thorpe
Osaro Rich Igbineweka,Veolia Towers Hamburg,3,Osaro Rich Igbineweka
Zsombor Maronka,Veolia Towers Hamburg,5,Zsombor Maronka
Janne Müller,Veolia Towers Hamburg,6,Janne Müller
Jean-Pierre Tokoto II,Veolia Towers Hamburg,7,Jean-Pierre Tokoto II
Jared Grey,Veolia Towers Hamburg,8,Jared Grey
Nelson Jamal Martin,Veolia Towers Hamburg,10,Nelson Jamal Martin
Justin Edler Davis,Veolia Towers Hamburg,19,Justin Edler Davis
Kenneth Ogbe,Veolia Towers Hamburg,25,Kenneth Ogbe
Eric Jr. Reed,Veolia Towers Hamburg,43,Eric Jr. Reed
Benedikt Turudic,Veolia Towers Hamburg,44,Benedikt Turudic
Zacharie Perrin,Veolia Towers Hamburg,52,Zacharie Perrin
Zachary Ensminger,BMA365 Bamberg Baskets,1,Player 1; Zachary Ensminger
Ibrahim Watson-Boye,BMA365 Bamberg Baskets,2,Ibrahim Watson-Boye; Player 2
Finn Döntgens,BMA365 Bamberg Baskets,7,Finn Döntgens
Demarcus Demonia,BMA365 Bamberg Baskets,8,Demarcus Demonia
Richard Balint,BMA365 Bamberg Baskets,11,Richard Balint
Adrian Petkovic,BMA365 Bamberg Baskets,15,Adrian Petkovic
Cobe Williams,BMA365 Bamberg Baskets,24,Cobe Williams
Daniel Keppeler,BMA365 Bamberg Baskets,31,Daniel Keppeler
Patrick Heckmann,BMA365 Bamberg Baskets,33,Patrick Heckmann
Ejiofor Onu,BMA365 Bamberg Baskets,35,Player 35; Ejiofor Onu
Nico Höllerl,BMA365 Bamberg Baskets,55,Nico Höllerl
Austin Crowley,BMA365 Bamberg Baskets,85,Player 85; Austin Crowley
Dexter Akanno,VET-CONCEPT Gladiators Trier,2,Dexter Akanno
Clay Guillozet,VET-CONCEPT Gladiators Trier,4,Clay Guillozet
