Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Charnwood College Riders EABL,"A. Oyerinde, F. Saeed, R. Buckingham, T. Curran, Z. Gleadell-Smith",2,123,0.8,6,3,6,50,0,0,0,0,0,0,2,1,3,1,0,1,0,1,4,74.9,74.9,74.9,32.0,32.0,50,50,33.3,100,50,0,0,0,156.2,4,2,5,40,0,1,0,0,0,0,1,0,1,2,0,0,0,1,4,40,40,0,50,20,104.2,0,0,0,6,3,50,0,0,0,0,0,0,0,52.1,0,0,0,4,2,50,1,0,0,0,0,0,0,4,2,2,2,2,2
Charnwood College Riders EABL,"D. Stephens, L. Boothe, R. Buckingham, T. Curran, Z. Gleadell-Smith",1,93,0.0,7,3,5,60,0,1,0,1,4,25,3,2,5,2,1,0,0,2,4,114,93.2,134.8,25.8,17.8,60,51.8,66.7,75,50,0,80,20,193.9,2,1,4,25,0,1,0,0,1,0,2,1,3,1,0,0,3,3,5,25,22.5,40.3,50,25,38.3,0,0,0,4,3,75,1,0,0,0,0,0,0,155.6,0,0,0,3,1,33.3,1,0,0,0,1,0,1,2,3,4,0,0,0
SGS College EABL,"D. Lloyd, K. Ramirez Mora, K. Richards, M. Alburo, M. Pospori",1,82,0.0,5,1,2,50,1,1,100,2,2,100,0,0,0,1,1,1,1,2,4,107.3,109,105.6,22.0,22.7,75,86.8,100,0,0,20.5,100,50,134.2,6,1,4,25,0,1,0,4,4,100,3,1,4,0,1,0,1,1,4,25,52.1,14.8,100,25,166.2,0,0,0,1,0,0,1,1,100,1,0,0,0,-32,0,0,0,3,1,33.3,1,0,0,1,0,0,0,0,2,0,6,2,4
SGS College EABL,"A. Bennett, I. Toure, L. Matthews, M. Perez Tosca, S. Nelson",2,156,0.0,4,2,4,50,0,0,0,0,0,0,1,2,3,0,0,0,1,3,4,73,59.1,86.8,40.6,27.6,50,50,0,50,33.3,20,0,0,104.2,10,4,9,44.4,1,2,50,1,2,50,4,1,5,1,1,0,0,2,6,50,50.6,0,66.7,22.2,177.2,0,0,0,4,2,50,0,0,0,0,1,0,0,-73,0,0,0,7,3,42.9,2,1,50,0,0,0,0,2,2,0,9,1,5
Charnwood College Riders EABL,"H. Mcglone, P. Kattah, R. Buckingham, T. Curran, T. Pearson",1,69,0.0,4,1,3,33.3,0,1,0,2,2,100,1,0,1,2,2,0,1,0,4,148.3,129.6,167,18.5,14.4,33.3,51.5,200,50,0,14.5,66.7,33.3,107.4,7,3,3,100,1,1,100,0,0,0,0,1,1,2,1,0,2,1,5,116.7,116.7,40,0,33.3,145.8,0,0,0,2,1,50,1,0,0,1,0,1,0,-38.4,0,0,0,2,2,100,1,1,100,1,1,0,0,0,0,0,0,2,2
Manchester Magic Academy EABL,"A. Sagay Isiorho, H. Blake, L. Clayton, N. Brown, O. Babalola",1,78,0.0,4,1,3,33.3,0,0,0,2,2,100,1,0,1,1,0,0,1,0,4,101.6,114.6,88.6,20.9,27.1,33.3,51.5,100,50,0,17,66.7,0,107.4,5,2,2,100,1,1,100,0,0,0,0,1,1,2,1,0,1,2,3,125,125,33.3,0,50,173.6,0,0,0,3,1,33.3,0,0,0,1,0,0,0,-66.2,0,0,0,1,1,100,1,1,100,0,1,0,0,2,0,0,0,3,3
Manchester Magic Academy EABL,"D. Allotey, J. Walton, L. Clayton, N. Brown, T. Kamal Kazmi",1,110,0.0,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,3,1,4,82.5,83.8,81.3,28.6,29.5,150,150,100,0,0,60,0,100,78.1,4,1,2,50,1,1,100,1,2,50,1,0,1,2,1,0,2,1,4,75,69.4,41,100,50,107.4,0,0,0,0,0,0,1,1,100,1,0,0,1,-29.3,0,0,0,1,0,0,1,1,100,0,2,0,0,0,0,0,4,0,3
Derby College Trailblazers EABL,"C. Burr, E. Rice, L. Ngomti, R. Hobday, W. Tallon",2,140,0.0,1,0,3,0,0,2,0,1,2,50,1,0,1,0,0,1,1,0,4,64.8,63.9,65.8,37.6,36.5,0,12.9,0,33.3,0,20.5,66.7,66.7,26.8,4,2,4,50,0,0,0,0,0,0,1,2,3,1,1,0,1,1,4,50,50,20,100,0,104.2,0,0,0,1,0,0,2,0,0,0,1,0,0,-77.3,0,0,0,4,2,50,0,0,0,0,1,1,0,1,0,0,0,2,2
Myerscough College EABL,"A. Ibirinde, D. Okhuoya, N. Byfield, O. Esingle, S. Latidan",1,78,0.0,2,1,2,50,0,1,0,0,0,0,0,3,3,1,0,0,2,2,4,101.6,118.2,85.1,20.3,28.2,50,50,100,0,100,40,0,50,52.1,2,1,2,50,0,1,0,0,2,0,0,1,1,1,0,0,0,0,3,50,34.7,0,0,50,72.3,0,0,0,1,1,100,1,0,0,0,0,0,1,-20.3,0,0,0,1,1,100,1,0,0,0,0,0,0,0,2,0,0,0,0
Myerscough College EABL,"H. Sheehan, I. Idemudia, J. Bobkowski, S. Latidan, Z. Trezvant",1,90,0.0,4,1,3,33.3,0,1,0,2,2,100,1,0,1,1,1,0,1,0,4,100.9,99.3,102.4,24.2,23.4,33.3,51.5,100,50,0,17,66.7,33.3,107.4,6,2,2,100,2,2,100,0,0,0,0,1,1,1,0,0,2,0,4,150,150,50,0,100,156.2,0,0,0,2,1,50,1,0,0,0,1,0,0,-48.9,0,0,0,0,0,0,2,2,100,1,1,0,0,4,2,2,0,3,3
