Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Itchen College EABL,E. Lotriet,8,E. Lotriet,12,22.5,270.1,70.0,5.8,28.0,73.0,38.4,10.0,37.0,27,4.0,4.0,100,9.0,23.0,32.0,30.0,19.0,1.0,19.0,28.0,81.4,14.9,13.0,5.6,5.9,68,138.0,11.5,25.6,0,0.0,1,0,0.0,1.0,1,3.62,-3.1,6.72,2.2,3.7,0.0,0.0,0,36.0,18.0,50,37.0,10.0,27,14.0,3.0,0.0,2.0,10.0,24.0,32.0
SGS College EABL,I. Toure,12,I. Toure,12,22.0,264.1,68.0,5.7,31.0,70.0,44.3,0.0,4.0,0,6.0,14.0,42.9,16.0,45.0,61.0,3.0,5.0,14.0,28.0,30.0,84.6,15.5,12.4,0.5,11.1,7,75.0,6.2,13.7,1,1.0,0,2,56.8,1.9,1,-7.96,-8.81,0.85,4.8,4.5,0.0,0.0,0,66.0,31.0,47,4.0,0.0,0,7.0,12.0,3.0,6.0,26.0,8.0,9.0
Charnwood College Riders EABL,P. Kattah,1/10,P. Kattah,12,21.7,260.2,61.0,5.1,24.0,40.0,60,2.0,7.0,28.6,11.0,19.0,57.9,22.0,30.0,52.0,15.0,8.0,1.0,19.0,18.0,43.5,8.4,11.7,2.9,10.0,31,92.0,7.7,17.7,0,0,0,0,0,0.0,0,-0.34,-3.24,2.9,3.3,3.6,0.0,0.0,0,33.0,22.0,66.7,7.0,2.0,28.6,11.0,7.0,0.0,1.0,14.0,25.0,19.0
Myerscough College EABL,A. Ibirinde,13/32,A. Ibirinde,12,11.5,137.4,54.0,4.5,20.0,40.0,50,0.0,1.0,0,14.0,24.0,58.3,32.0,23.0,55.0,4.0,12.0,10.0,11.0,17.0,28.4,10.3,19.6,1.5,20.0,14,68.0,5.7,24.7,0,0,0,0,0,0.0,0,7.87,-0.14,8.01,4.9,4.0,0.0,0.0,0,39.0,20.0,51.3,1.0,0.0,0,0.0,7.0,0.0,4.0,23.0,6.0,11.0
Copleston High School EABL,I. Little,7,I. Little,12,28.9,346.4,52.0,4.3,22.0,74.0,29.7,1.0,17.0,5.9,7.0,21.0,33.3,23.0,73.0,96.0,35.0,23.0,11.0,45.0,44.0,101.0,13.9,7.1,4.8,13.2,80,132.0,11.0,18.1,0,0,0,0,0,0.0,0,-8.88,-10.46,1.58,3.5,3.3,0.0,0.0,0,57.0,21.0,36.8,17.0,1.0,5.9,30.0,11.0,0.0,4.0,15.0,14.0,11.0
Myerscough College EABL,D. Okhuoya,21,D. Okhuoya,12,8.5,102.1,51.0,4.2,23.0,47.0,48.9,1.0,16.0,6.2,4.0,7.0,57.1,14.0,17.0,31.0,7.0,9.0,0.0,9.0,11.0,43.3,21.2,25.0,3.4,15.2,17,68.0,5.7,33.3,0,0,0,0,0,0.0,0,7.23,-0.85,8.08,3.3,3.4,0.0,0.0,0,31.0,22.0,71,16.0,1.0,6.2,4.0,3.0,0.0,2.0,21.0,14.0,21.0
Oaklands Wolves EABL,T. Mcintosh,8,T. Mcintosh,12,14.8,177.0,51.0,4.2,16.0,45.0,35.6,9.0,30.0,30,10.0,11.0,90.9,8.0,8.0,16.0,17.0,5.0,0.0,22.0,17.0,61.3,18.0,14.9,5.0,4.7,35,86.0,7.2,25.1,0,0,0,0,0,0.0,0,-3.75,-3.88,0.13,2.1,3.1,0.0,0.0,0,15.0,7.0,46.7,30.0,9.0,30,12.0,7.0,0.0,3.0,9.0,7.0,9.0
HHS Reading Rockets EABL,C. Okumus,16/4,C. Okumus,12,17.6,210.8,50.0,4.2,18.0,51.0,35.3,4.0,10.0,40,10.0,17.0,58.8,8.0,18.0,26.0,26.0,11.0,1.0,27.0,11.0,74.4,18.1,12.1,6.3,6.3,51,101.0,8.4,24.3,0,0,0,0,0,0.0,0,-4.57,-6.56,2.0,2.1,2.8,0.0,0.0,0,41.0,14.0,34.1,10.0,4.0,40,19.0,5.0,0.0,3.0,4.0,6.0,19.0
Charnwood College Riders EABL,T. Pearson,14/15/8,T. Pearson,12,19.9,238.9,47.0,3.9,16.0,46.0,34.8,11.0,31.0,35.5,4.0,4.0,100,10.0,24.0,34.0,20.0,23.0,0.0,19.0,21.0,54.5,11.5,9.9,4.2,7.1,115,162.0,13.5,34.0,3,1.5,1,3,64.7,2.3,2,1.53,-4.2,5.73,2.1,3.7,0.0,0.0,0,15.0,5.0,33.3,31.0,11.0,35.5,8.0,6.0,1.0,4.0,9.0,12.0,9.0
Itchen College EABL,R. Radu,10,R. Radu,12,14.5,173.6,47.0,3.9,14.0,37.0,37.8,3.0,13.0,23.1,16.0,20.0,80,7.0,25.0,32.0,30.0,8.0,1.0,19.0,17.0,55.5,15.8,13.5,8.6,9.2,67,114.0,9.5,32.9,0,0,0,0,0,0.0,0,3.44,-3.01,6.45,2.5,2.8,0.0,0.0,0,24.0,11.0,45.8,13.0,3.0,23.1,14.0,4.0,0.0,1.0,4.0,15.0,8.0
