Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
HHS Reading Rockets EABL,"M. Hassan-Taylor, L. Francis, J. Mackinnon, C. Okumus, E. Harrington",1,18,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,63,13.3,112.6,180.0,21.3,0,0,0,100,0,0,0,100,0,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,1,0,0,56.8,0,0,0,118.4,-118.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"M. Hassan-Taylor, J. Waterhouse, J. Mackinnon, C. Okumus, M. Daines",1,46,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,100.2,50.1,150.3,47.9,16.0,0,0,0,0,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,33.3,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
HHS Reading Rockets EABL,"M. Hassan-Taylor, J. Mackinnon, C. Okumus, A. Moloney, M. Daines",2,28,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,1,0,1,0,95.5,82.3,108.6,29.2,22.1,150,150,0,0,25,0,0,100,312.5,4,1,3,33.3,1,2,50,1,3,33.3,3,0,3,1,0,0,0,1,1,50,46.3,0,75,66.7,315.7,-3.2,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,1,0,0,2,1,50,0,0,0,0
HHS Reading Rockets EABL,"M. Hassan-Taylor, J. Mackinnon, C. Okumus, M. Daines, A. King",1,56,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,59.2,41.1,77.3,58.3,31.0,0,0,0,0,100,0,0,100,0,1,0,1,0,0,0,0,1,2,50,0,1,1,1,0,0,0,0,1,0,26.6,0,0,0,55.4,-55.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"N. Dent, L. Francis, J. Mackinnon, C. Okumus, M. Daines",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,144,144,16.7,16.7,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HHS Reading Rockets EABL,"N. Dent, J. Waterhouse, J. Mackinnon, E. Harrington, M. Daines",1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,144,144,16.7,16.7,0,0,0,0,0,100,0,0,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,100,100,0,0,0,208.3,-208.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"N. Dent, J. Mackinnon, L. Bakary, E. Harrington, M. Daines",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.3,26.7,256,90.0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HHS Reading Rockets EABL,"L. Francis, J. Waterhouse, J. Mackinnon, M. Daines, A. King",1,40,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,0,82.9,57.6,108.3,41.7,22.2,150,150,100,0,0,0,0,100,312.5,1,0,1,0,0,1,0,1,2,50,0,0,0,0,0,0,0,0,1,0,26.6,0,0,100,55.4,257.1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HHS Reading Rockets EABL,"L. Francis, J. Mackinnon, L. Bakary, A. Moloney, M. Daines",1,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,34.9,34.9,68.8,68.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,50,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HHS Reading Rockets EABL,"L. Francis, J. Mackinnon, C. Okumus, E. Harrington, M. Daines",1,36,3,1,2,50,1,1,100,0,0,0,1,0,1,1,0,0,0,1,0,46.1,64,28.2,37.5,85.2,75,75,100,100,0,0,0,50,312.5,1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,113.6,0,0,0,236.7,75.8,0,0,0,1,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"L. Francis, J. Mackinnon, C. Okumus, A. Moloney, M. Daines",1,29,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,74.7,69.9,79.4,34.3,30.2,0,56.8,0,0,0,0,0,0,118.4,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,100,100,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
HHS Reading Rockets EABL,"L. Francis, J. Mackinnon, C. Okumus, A. Moloney, A. King",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,60,576,40.0,4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HHS Reading Rockets EABL,"L. Francis, L. Bakary, C. Okumus, M. Daines, A. King",1,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3,54.9,109.7,43.8,21.9,0,0,0,0,0,0,0,100,0,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,50,50,0,0,0,104.2,-104.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"J. Waterhouse, J. Mackinnon, E. Harrington, A. Moloney, A. King",1,19,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,174.6,106.7,242.5,22.5,9.9,0,56.8,0,0,0,0,0,0,118.4,5,2,3,66.7,1,2,50,0,0,0,1,0,1,1,0,0,0,1,1,83.3,83.3,0,100,66.7,260.4,-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,2,1,50,0,0,0,0
HHS Reading Rockets EABL,"J. Waterhouse, C. Okumus, E. Harrington, A. Moloney, A. King",1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,72,48,96,50.0,25.0,0,0,0,0,0,100,0,0,0,2,1,4,25,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,25,25,0,100,0,104.2,-104.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,25,0,0,0,0,0,0,0
HHS Reading Rockets EABL,"J. Waterhouse, E. Harrington, A. Moloney, M. Daines, A. King",1,64,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,51.8,36,67.7,66.7,35.5,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HHS Reading Rockets EABL,"J. Mackinnon, L. Bakary, C. Okumus, M. Daines, A. King",1,24,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,1,0,47.2,84.5,10,28.4,240.0,0,56.8,0,0,0,0,0,0,118.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,100,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Itchen College EABL,"D. Cimochowski, R. Radu, J. Osei-Owusu, G. Andrews, E. Lotriet",1,23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.2,100.2,100.2,24.0,24.0,0,0,0,0,0,0,0,100,0,2,1,1,100,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,100,100,0,0,0,208.3,-208.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0
Itchen College EABL,"D. Cimochowski, M. Edwards, J. Osei-Owusu, B. Cope, E. Lotriet",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itchen College EABL,"D. Cimochowski, B. Cope, J. Ofman, E. Round, G. Andrews",1,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,292.7,135.5,450,17.7,5.3,0,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,3,3,100,0,1,1,0,0,0,2,2,3,0,113.6,60.2,0,0,94.1,-94.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Itchen College EABL,"R. Radu, M. Edwards, R. Matthias, E. Round, S. Wood",1,21,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,79,109.7,48.3,21.9,49.7,100,100,0,0,100,0,0,0,208.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,208.3,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itchen College EABL,"R. Radu, M. Edwards, A. Ben-Uloko, G. Andrews, S. Wood",1,48,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,58.6,48,69.1,50.0,34.7,0,0,0,0,100,0,0,100,0,1,0,1,0,0,0,0,1,1,100,0,1,1,0,0,0,0,0,1,0,34.7,0,0,0,72.3,-72.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Itchen College EABL,"R. Radu, M. Edwards, M. Yeates, T. Blower, B. Cope",1,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148.6,74.3,223,32.3,10.8,0,0,0,0,0,0,0,100,0,3,1,1,100,1,1,100,0,0,0,0,1,1,1,0,0,2,1,2,150,150,66.7,0,100,104.2,-104.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,1
Itchen College EABL,"R. Radu, M. Edwards, M. Yeates, B. Cope, E. Lotriet",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,120.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
