Canonical,Team,Numbers,Variations
G. Augenti,Oaklands Wolves EABL,4,G. Augenti
T. Mcintosh,Oaklands Wolves EABL,8,T. Mcintosh
E. Ryan,Oaklands Wolves EABL,12,E. Ryan
K. Gasperas,Oaklands Wolves EABL,21,K. Gasperas
Z. Gribble,Oaklands Wolves EABL,22,Z. Gribble
D. Gladstone,Oaklands Wolves EABL,24,D. Gladstone
S. Wood,Itchen College EABL,13/9,S. Wood
L. Read,Copleston High School EABL,15/91,L. Read
J. Sanchez,Myerscough College EABL,8,J. Sanchez
S. Laditan,Myerscough College EABL,10/15/6,S. Laditan
B. Gordon,Myerscough College EABL,4,B. Gordon
B. Manfo-Marc,City of London Academy - Southwark EABL,10/14/6,B. Manfo-Marc
A. Young,Charnwood College Riders EABL,16,A. Young
D. Barima,Derby College Trailblazers EABL,11/14,D. Barima
L. Roberts,Myerscough College EABL,6/7,L. Roberts
J. Styzcen-O'keefe,Manchester Magic Academy EABL,9,J. Styzcen-O'keefe
R. Roach,SGS College EABL,7/9,R. Roach
B. Thompson,Oaklands Wolves EABL,37,B. Thompson
R. Matthias,Itchen College EABL,12/9,R. Matthias
J. Powell,Itchen College EABL,12,J. Powell
J. Mcpherson,City of London Academy - Southwark EABL,4,J. Mcpherson
O. Hambira,Charnwood College Riders EABL,17,O. Hambira
H. Hodgson,Copleston High School EABL,13/33,H. Hodgson
A. Pilkington,Charnwood College Riders EABL,3,A. Pilkington
L. Heidenreich Roberts,Myerscough College EABL,15/4,L. Heidenreich Roberts
R. Cabrera,SGS College EABL,1/5/8,R. Cabrera
Z. Lawson,SGS College EABL,7,Z. Lawson
K. Rands,SGS College EABL,9,K. Rands
A. King,HHS Reading Rockets EABL,8,A. King
A. Cisse,Myerscough College EABL,24/7,A. Cisse
H. Parkin,Barking Abbey EABL,14,H. Parkin
S. Mills,Oaklands Wolves EABL,11,S. Mills
J. Grajcar,SGS College EABL,10/13/15,J. Grajcar
M. Waris,Copleston High School EABL,18,M. Waris
A. Isiorho,Manchester Magic Academy EABL,3,A. Isiorho
R. Amrania,Charnwood College Riders EABL,11,R. Amrania
