Canonical,Team,Numbers,Variations
O'Shae J Brissett,Maccabi Rapyd Tel Aviv,10,O'Shae J Brissett
William Rayman,Maccabi Rapyd Tel Aviv,11,William Rayman
John Dibartolomeo,Maccabi Rapyd Tel Aviv,12,John Dibartolomeo
Jeffrey Dowtin Jr,Maccabi Rapyd Tel Aviv,21,Jeffrey Dowtin Jr
Tj Leaf,Maccabi Rapyd Tel Aviv,22,Tj Leaf
Tamir Blatt,Maccabi Rapyd Tel Aviv,45,Tamir Blatt
Nemanja Dangubic,Dubai Basketball,2,Nemanja Dangubic
Dwayne Bacon,Dubai Basketball,3,Dwayne Bacon
Awudu Abass,Dubai Basketball,5,Awudu Abass
Klemen Prepelic,Dubai Basketball,7,Klemen Prepelic
Davis Bertans,Dubai Basketball,8,Davis Bertans
Justin Anderson,Dubai Basketball,10,Justin Anderson
Kosta Kondic,Dubai Basketball,11,Kosta Kondic
Dzanan Musa,Dubai Basketball,13,Dzanan Musa
Mfiondu Kabengele,Dubai Basketball,17,Mfiondu Kabengele
Mckinley Wright Iv,Dubai Basketball,25,Mckinley Wright Iv
Filip Petrusev,Dubai Basketball,30,Filip Petrusev
Kenan Kamenjas,Dubai Basketball,34,Kenan Kamenjas
Carlik Jones,Partizan Mozzart Bet Belgrade,1,Carlik Jones
Shake Milton,Partizan Mozzart Bet Belgrade,2,Shake Milton
Duane Washington,Partizan Mozzart Bet Belgrade,4,Duane Washington
Dylan Osetkowski,Partizan Mozzart Bet Belgrade,5,Dylan Osetkowski
Mitar Bosnjakovic,Partizan Mozzart Bet Belgrade,8,Mitar Bosnjakovic
Vanja Marinkovic,Partizan Mozzart Bet Belgrade,9,Vanja Marinkovic
Aleksej Pokusevski,Partizan Mozzart Bet Belgrade,11,Aleksej Pokusevski
Sterling Brown,Partizan Mozzart Bet Belgrade,12,Sterling Brown
Isaac Bonga,Partizan Mozzart Bet Belgrade,17,Isaac Bonga
Arijan Lakic,Partizan Mozzart Bet Belgrade,19,Arijan Lakic
Jabari Parker,Partizan Mozzart Bet Belgrade,22,Jabari Parker
Tyrique Jones,Partizan Mozzart Bet Belgrade,88,Tyrique Jones
Johnathan Motley,Hapoel IBI Tel Aviv,0,Johnathan Motley
Chris Jones,Hapoel IBI Tel Aviv,1,Chris Jones
Antonio Blakeney,Hapoel IBI Tel Aviv,2,Antonio Blakeney
Elijah Bryant,Hapoel IBI Tel Aviv,3,Elijah Bryant
Guy Palatin,Hapoel IBI Tel Aviv,9,Guy Palatin
Tyler Ennis,Hapoel IBI Tel Aviv,11,Tyler Ennis
Collin Malcolm,Hapoel IBI Tel Aviv,17,Collin Malcolm
Tai Odiase,Hapoel IBI Tel Aviv,21,Tai Odiase
Vasilije Micic,Hapoel IBI Tel Aviv,22,Vasilije Micic
Ish Wainright,Hapoel IBI Tel Aviv,24,Ish Wainright
Dan Oturu,Hapoel IBI Tel Aviv,25,Dan Oturu
Tomer Ginat,Hapoel IBI Tel Aviv,41,Tomer Ginat
Kevin Punter,FC Barcelona,0,Kevin Punter
Juani Marcos,FC Barcelona,2,Juani Marcos
Myles Cale,FC Barcelona,3,Myles Cale
Jan Vesely,FC Barcelona,6,Jan Vesely
Dario Brizuela,FC Barcelona,8,Dario Brizuela
Tomas Satoransky,FC Barcelona,13,Tomas Satoransky
Willy Hernangomez,FC Barcelona,14,Willy Hernangomez
Youssoupha Fall,FC Barcelona,19,Youssoupha Fall
Nicolas Laprovittola,FC Barcelona,20,Nicolas Laprovittola
Will Clyburn,FC Barcelona,21,Will Clyburn
Tornike Shengelia,FC Barcelona,23,Tornike Shengelia
Joel Parra,FC Barcelona,44,Joel Parra
