Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Шумен,"Джейлън Барр, Костадин Лазаров, Майкъл Марш, Мирослав Денчев, Уилям Елис",9,2303,25.1,61,23,65,35.4,3,23,13,12,17,70.6,10,32,42,16,6,4,13,19,75,79.7,77.9,81.5,30.8,29.5,37.7,42.1,69.6,23.8,88.9,12.8,26.2,35.4,81.6,84,31,64,48.4,10,21,47.6,12,23,52.2,4,32,36,20,4,2,8,20,78,56.2,56.7,9.7,11.1,32.8,107.4,21,10,47.6,6,3,50,6,0,0,6,6,0,1,-25.8,25,15,60,9,5,55.6,1,0,0,2,5,0,1,10,16,6,5,26,17
Спартак Плевен,"Джулиен Люйс, Кавон Скот, Мартин Сотиров, Николай Титков, Ноел Браун",8,2320,15.6,74,27,56,48.2,9,29,31,11,12,91.7,6,26,32,16,4,0,21,16,75,79.7,78,81.4,30.8,29.5,56.2,60.4,59.3,22.2,76.5,21.4,21.4,51.8,98.2,102,39,74,52.7,12,29,41.4,12,17,70.6,8,21,29,16,13,0,6,17,79,60.8,62.6,6.9,23.5,39.2,129.7,14,12,85.7,7,4,57.1,3,1,33.3,10,7,0,4,-31.5,24,20,83.3,7,2,28.6,4,2,50,3,2,0,1,3,18,2,14,28,40
Локомотив Пловдив,"Грант Сингълтън, Йоанис Кикрилис, Кхалил Милър, Томислав Минков, Шоу Андерсън",17,2437,4.2,100,33,54,61.1,11,22,50,23,30,76.7,9,24,33,23,10,0,15,15,74,71.5,72.7,70.3,33.0,34.1,71.3,74.4,69.7,37.5,66.7,14.3,55.6,40.7,135.5,69,21,62,33.9,8,27,29.6,19,25,76,12,15,27,16,8,1,13,25,71,40.3,47.3,15.1,33.3,43.5,96.7,21,17,81,7,4,57.1,4,2,50,10,3,0,2,38.9,20,10,50,9,2,22.2,4,2,50,7,4,0,2,11,25,22,14,14,7
Рилски спортист,"Алън Арнет, Камау Стоукс, Майкъл Едуардс, Мирослав Васов, Христо Бъчков",10,2305,19.4,73,29,62,46.8,5,19,26.3,10,14,71.4,8,36,44,20,8,7,15,22,74,79.9,77.4,82.4,31.0,29.1,50.8,53.6,69,25,85.7,14.5,22.6,30.6,98.2,69,23,65,35.4,5,23,21.7,18,24,75,6,24,30,15,8,1,10,23,79,39.2,45.7,11.7,14.3,35.4,87.2,24,16,66.7,14,5,35.7,4,2,50,5,8,0,2,11,21,10,47.6,15,6,40,2,1,50,7,3,0,0,7,27,16,6,10,19
Локомотив Пловдив,"Грант Сингълтън, Девърл Рамзи, Кръстан Кръстанов, Томислав Минков, Шоу Андерсън",7,2406,13.5,86,30,68,44.1,10,29,34.5,16,20,80,7,27,34,20,7,2,5,17,73,73.6,73.2,73.9,32.8,32.5,51.5,56,66.7,20.6,79.4,4.9,29.4,42.6,117.1,76,28,63,44.4,5,26,19.2,15,20,75,7,27,34,21,2,1,10,16,74,48.4,52.9,12.2,20.6,41.3,102.6,29,16,55.2,8,3,37.5,1,1,100,1,2,0,2,14.5,26,16,61.5,11,7,63.6,1,1,100,4,5,0,1,10,32,15,7,14,8
Балкан,"Джамари Блекмон, Димитър Димитров, Илиян Пищиков, Тадж Грийн, Травис Макконико",8,2323,9.0,95,32,66,48.5,12,31,38.7,19,25,76,12,29,41,23,9,2,8,17,71,72.9,73.7,72.1,32.6,33.3,57.6,61.7,71.9,37.5,82.9,7.4,37.9,47,133.1,52,19,56,33.9,7,31,22.6,7,15,46.7,6,20,26,12,7,5,14,26,70,40.2,41.5,18.3,17.1,55.4,74.5,25,17,68,6,2,33.3,8,5,62.5,4,3,0,1,58.6,19,9,47.4,5,2,40,9,0,0,4,7,0,3,16,13,18,7,12,13
Черно море Тича,"Алонзо Гафни, Венцислав Петков, Джелани Уотсън-Гейл, Ламонт Уест, Николай Стоянов",15,2119,9.4,90,32,57,56.1,12,22,54.5,14,20,70,7,18,25,14,3,5,12,15,70,74,79.6,68.4,30.1,35.1,66.7,68.4,43.8,28,69.2,13.1,35.1,38.6,128,57,23,53,43.4,3,20,15,8,12,66.7,8,18,26,8,6,1,12,20,60,46.2,48.9,17.1,30.8,37.7,94.4,28,19,67.9,4,1,25,1,1,100,3,5,0,4,33.6,26,16,61.5,7,4,57.1,2,0,0,5,2,0,5,14,13,12,12,13,12
Левски,"Александър Александров, Андон Вачев, Лъчезар Димитров, Марио Боянов, Седариан Рейнс",9,2394,17.3,86,30,55,54.5,12,26,46.2,14,14,100,5,21,26,27,7,6,14,19,70,69.3,69.8,68.8,34.4,34.9,65.5,70.3,90,20.8,67.7,13.7,25.5,47.3,123.6,80,30,61,49.2,7,23,30.4,13,19,68.4,10,19,29,24,10,4,10,17,69,54.9,57.7,12.6,32.3,37.7,116.5,18,11,61.1,6,4,66.7,1,1,100,7,5,0,2,7.1,25,14,56,7,4,57.1,2,1,50,5,3,0,2,8,11,17,12,18,20
Ботев 2012 Враца,"Георги Герганов, Иво Корестилов, Кортни Александър ii, Михаил Калинов, Стефан Михайлов",7,2080,0.0,80,30,58,51.7,9,21,42.9,11,21,52.4,7,22,29,17,12,3,10,17,70,78.4,80.5,76.4,29.8,31.4,59.5,59.5,56.7,25,78.6,10.6,36.2,36.2,114.7,68,25,50,50,8,17,47.1,10,18,55.6,6,21,27,20,7,0,14,21,66,58,58.7,19.5,21.4,34,102.7,25,16,64,9,4,44.4,2,0,0,5,3,0,2,12,24,15,62.5,5,1,20,3,1,33.3,8,6,0,0,14,13,20,7,11,13
Балкан,"Демонд Робинсън, Джоунс Пагенкопф, Димитър Димитров, Илиян Пищиков, Николай Грозев",8,2094,10.1,81,30,57,52.6,9,24,37.5,12,16,75,8,25,33,14,5,3,15,14,70,78.3,80.4,76.2,29.8,31.5,60.5,63.2,46.7,30.8,78.1,16.1,28.1,42.1,115.5,68,26,61,42.6,5,13,38.5,11,13,84.6,7,18,25,10,7,2,8,15,67,46.7,51,10.7,21.9,21.3,102.2,20,12,60,11,7,63.6,6,3,50,7,4,0,4,13.3,23,10,43.5,22,11,50,6,1,16.7,3,4,0,1,13,19,16,12,6,16
Балкан,"Джамари Блекмон, Димитър Димитров, Константин Тошков, Тадж Грийн, Травис Макконико",7,2181,12.2,75,29,57,50.9,6,19,31.6,11,13,84.6,5,17,22,17,8,1,11,23,68,73.2,74.8,71.6,32.1,33.5,56.1,59.8,58.6,19.2,89.5,12.1,22.8,33.3,110.4,71,21,43,48.8,9,16,56.2,20,24,83.3,2,21,23,12,7,4,14,16,65,59.3,66.3,20.7,10.5,37.2,109.1,26,20,76.9,6,1,16.7,4,2,50,6,4,0,1,1.3,14,7,50,12,5,41.7,7,4,57.1,6,5,0,3,4,15,17,2,9,9
Локомотив Пловдив,"Грант Сингълтън, Девърл Рамзи, Йоанис Кикрилис, Кхалил Милър, Томислав Минков",12,2122,0.5,90,29,52,55.8,8,18,44.4,24,31,77.4,3,29,32,22,9,1,4,16,67,77.7,75.3,80.1,31.9,30.0,63.5,68.6,75.9,12.5,76.3,4.4,59.6,34.6,135.2,69,26,63,41.3,9,28,32.1,8,14,57.1,9,21,30,14,3,2,11,28,71,48.4,49.9,13.7,23.7,44.4,97.5,25,17,68,5,2,40,3,1,33.3,3,1,0,0,37.7,24,14,58.3,6,1,16.7,5,3,60,7,4,0,0,11,23,16,12,9,9
Рилски спортист,"Александър Георгиев, Алън Арнет, Красимир Петров, Майкъл Едуардс, Мирослав Васов",8,2071,24.2,82,29,59,49.2,11,23,47.8,13,19,68.4,8,16,24,20,4,2,7,14,67,74.7,77.4,72,31.0,33.3,58.5,60.9,69,23.5,72.7,7.4,32.2,39,122.7,74,28,52,53.8,7,18,38.9,11,14,78.6,6,26,32,15,3,1,11,23,62,60.6,63.6,15.9,27.3,34.6,119.1,24,15,62.5,9,3,33.3,2,2,100,4,2,0,1,3.7,23,18,78.3,5,2,40,4,2,50,6,3,0,2,11,15,19,6,18,12
Ботев 2012 Враца,"Георги Герганов, Кортни Александър ii, Кристиян Занов, Михаил Калинов, Стефан Михайлов",6,1974,6.4,70,25,48,52.1,3,12,25,17,25,68,4,20,24,11,8,3,12,14,67,79.4,81.1,77.6,29.6,30.9,55.2,59.3,44,17.4,64.5,14.6,52.1,25,104.9,70,30,59,50.8,5,20,25,5,11,45.5,11,19,30,18,4,2,11,17,64,55.1,54.8,14.7,35.5,33.9,109.7,27,19,70.4,4,1,25,3,1,33.3,3,7,0,2,-4.8,23,16,69.6,4,2,50,5,1,20,6,5,0,0,5,21,15,11,8,12
Балкан,"Демонд Робинсън, Джамари Блекмон, Джоунс Пагенкопф, Димитър Димитров, Николай Грозев",6,2086,11.6,73,27,63,42.9,7,23,30.4,12,17,70.6,9,27,36,13,4,3,7,10,67,73.3,77.4,69.3,31.0,34.6,48.4,51.8,48.1,26.5,90,7.7,27,36.5,108.5,44,17,48,35.4,5,15,33.3,5,8,62.5,3,25,28,9,3,1,12,20,60,40.6,42.7,18.9,10,31.2,73.1,23,13,56.5,13,5,38.5,2,0,0,2,4,0,1,35.4,11,6,54.5,17,4,23.5,4,2,50,4,5,0,3,14,14,13,7,9,9
Ботев 2012 Враца,"Дейвид Хоутън, Иво Корестилов, Михаил Калинов, Станислав Хинков, Стефан Михайлов",6,2311,15.9,87,34,57,59.6,8,16,50,11,15,73.3,7,18,25,17,7,1,10,20,66,68.2,68.7,67.8,35.0,35.4,66.7,68.4,50,30.4,72,11,26.3,28.1,131.6,69,25,52,48.1,4,17,23.5,15,19,78.9,7,16,23,9,5,0,13,18,65,51.9,57.2,17.7,28,32.7,105.7,23,18,78.3,14,7,50,3,1,33.3,6,2,0,2,25.9,24,15,62.5,8,4,50,5,1,20,4,8,0,1,13,6,13,6,13,10
