Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Академик Бултекс 99,"Джакуез Йоу, Николай Михайлов, Асен Великов, Ватанго Донзо, Демаркъс Шарп",1,60,3,1,3,33.3,1,2,50,0,0,0,0,1,1,1,1,0,0,1,3,100,120,80,20.0,30.0,50,50,100,0,100,0,0,66.7,100,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,50,0,100,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Академик Бултекс 99,"Джакуез Йоу, Николай Михайлов, Асен Великов, Роджър Хемпфил, Райт-Рииво Лаане",1,80,3,1,2,50,1,1,100,0,0,0,0,1,1,1,0,0,1,0,3,75,90,60,26.7,40.0,75,75,100,0,100,25,0,50,100,3,1,2,50,1,2,50,0,0,0,0,1,1,0,0,0,0,0,2,75,75,0,0,100,150,-50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Николай Михайлов, Ватанго Донзо, Максим Чоков, Демаркъс Шарп",1,106,2,1,2,50,0,0,0,0,1,0,0,2,2,1,0,0,1,1,3,96.1,77.9,114.3,30.8,21.0,50,41,100,0,66.7,22.5,50,0,58.1,6,2,4,50,0,1,0,2,4,50,1,1,2,2,1,0,0,2,5,50,52.1,0,33.3,25,118.9,-60.8,2,1,50,0,0,0,0,0,0,1,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Асен Великов, Обрад Томич, Райт-Рииво Лаане, Демаркъс Шарп",1,131,3,1,4,25,0,2,0,1,2,50,1,1,2,2,0,0,0,1,3,55.7,74.7,36.6,32.1,65.5,25,30.7,200,25,100,0,50,50,73.6,3,1,2,50,1,2,50,0,0,0,0,3,3,1,0,0,0,1,2,75,75,0,0,100,150,-76.4,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Асен Великов, Ватанго Донзо, Петър Ралчев, Райт-Рииво Лаане",1,77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,3,77.9,93.5,62.3,25.7,38.5,0,0,0,0,0,66.7,0,100,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Академик Бултекс 99,"Джакуез Йоу, Асен Великов, Ватанго Донзо, Райт-Рииво Лаане, Максим Чоков",1,70,2,1,3,33.3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,83.7,102.9,64.5,23.3,37.2,33.3,33.3,100,0,0,0,0,66.7,66.7,3,1,1,100,0,0,0,1,2,50,0,0,0,1,0,1,0,0,1,100,79.8,0,0,0,159.6,-92.9,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0
Академик Бултекс 99,"Джакуез Йоу, Обрад Томич, Ватанго Донзо, Петър Ралчев, Максим Чоков",1,96,2,1,2,50,0,0,0,0,0,0,0,3,3,0,0,1,1,1,3,93,75,111,32.0,21.6,50,50,0,0,100,33.3,0,0,66.7,3,1,4,25,0,1,0,1,1,100,0,1,1,0,0,0,0,1,4,25,33.8,0,0,25,67.6,-0.9,1,1,100,1,0,0,0,0,0,0,1,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Васил Бачев, Николай Михайлов, Роджър Хемпфил, Петър Ралчев, Райт-Рииво Лаане",3,129,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,0,0,0,5,3,53.6,55.8,51.3,43.0,46.7,50,50,100,0,0,0,0,100,100,4,1,1,100,1,1,100,1,4,25,1,2,3,1,0,0,0,0,2,150,72.5,0,100,100,144.9,-44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Академик Бултекс 99,"Васил Бачев, Асен Великов, Обрад Томич, Ватанго Донзо, Демаркъс Шарп",1,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,59.2,72,46.3,33.3,51.8,0,0,0,0,0,66.7,0,0,0,4,2,3,66.7,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,66.7,66.7,0,100,33.3,207.3,-207.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,100,0,0,0,0,0,0,0
Академик Бултекс 99,"Николай Михайлов, Обрад Томич, Ватанго Донзо, Петър Ралчев, Демаркъс Шарп",1,81,0,0,4,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,3,86.8,84.7,88.9,28.3,27.0,0,0,0,50,0,20,0,25,0,4,2,2,100,0,0,0,0,0,0,0,2,2,0,1,0,1,0,3,100,100,33.3,0,0,133.3,-133.3,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2,100,0,0,0,0,0,0,0,1,0,0
