Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Sheffield Arrows Senior Men,"Adam Moore, Diogo Soares, Hamza Ibrahim, Kunal Bagga, Mahamud Ibrahim",2,333,0.0,14,4,8,50,1,2,50,5,6,83.3,0,3,3,2,1,1,1,4,12,84.3,83.9,84.8,28.6,28.3,56.2,65.8,50,0,100,7.3,75,25,120.3,17,6,8,75,3,3,100,2,4,50,0,3,3,4,1,0,2,2,12,93.8,87.1,17,0,37.5,144.6,3,3,100,0,0,0,0,0,0,0,0,0,0,-24.3,4,3,75,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2
London Elite Senior Men I,"Bakary Coulibali, Hammish Loader, Joshua Alimi, Nataniel Ebifeni, Tega Agbede",1,308,3.9,6,2,8,25,0,0,0,2,2,100,2,7,9,0,0,1,5,1,12,92.5,91.5,93.5,26.2,25.7,25,33.8,0,33.3,100,36,25,0,51.1,9,4,11,36.4,1,3,33.3,0,0,0,0,4,4,3,4,0,1,1,12,40.9,40.9,8.3,0,27.3,75,2,1,50,0,0,0,0,0,0,0,0,0,0,-23.9,7,2,28.6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,3
Cobham Cobras Senior Men,"Charlie Ollis, Guy Rundle, Jamal Tahraoui, John Stewart, Marcel Alexandre Dias Mendes",2,270,2.8,13,5,9,55.6,2,3,66.7,1,2,50,0,3,3,4,1,0,2,4,12,97.5,105.6,89.3,22.7,26.9,66.7,65.8,80,0,60,12.6,22.2,33.3,109.4,11,4,8,50,0,3,0,3,4,75,2,5,7,2,1,0,2,1,10,50,56.4,17,40,37.5,109.5,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,2
Leicester Warriors Senior Men,"Ashley Kalugin-Ugo, Jaguar Jackson, Malachi Nelson, Malik Alechicus Legania, Taiwo Hamilton",3,401,0.0,17,5,9,55.6,1,3,33.3,6,6,100,1,4,5,3,2,0,2,3,12,77.1,73.1,81.1,32.8,29.6,61.1,73,60,33.3,80,12,66.7,33.3,139.2,17,7,10,70,2,3,66.7,1,5,20,1,2,3,4,1,0,2,5,14,80,69.7,14.1,20,30,125.4,2,1,50,1,0,0,0,0,0,0,0,0,0,13.8,4,3,75,1,1,100,0,0,0,0,0,0,0,2,2,2,2,2,4
Leicester Warriors Senior Men,"Ashley Kalugin-Ugo, Benson Agrobo, Jaguar Jackson, Malik Alechicus Legania, Taiwo Hamilton",3,311,1.2,17,8,11,72.7,1,2,50,0,1,0,0,2,2,6,3,0,1,1,12,92.2,96,88.4,25.0,27.2,77.3,74.3,75,0,66.7,5.4,9.1,18.2,136.7,9,4,8,50,1,3,33.3,0,2,0,1,3,4,3,1,0,4,1,11,56.2,50.7,31.1,33.3,37.5,78.6,7,5,71.4,0,0,0,0,0,0,0,0,0,0,58.1,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0
Barking Abbey Senior Men I,"Alexander Nwabueze, Ian-Titus Warari, Joshua Mendes, Kervy Mabaya, Oskaras Visockas",4,463,1.4,10,4,14,28.6,1,7,14.3,1,2,50,4,10,14,3,1,2,1,3,12,65.8,60.1,71.5,39.9,33.6,32.1,33.6,75,40,76.9,5.3,14.3,50,86.2,7,2,14,14.3,2,9,22.2,1,4,25,3,6,9,2,0,2,1,2,14,21.4,22.2,6,23.1,64.3,50.7,3,2,66.7,0,0,0,0,0,0,0,0,0,0,35.5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,3
Oxford Hoops Senior Men,"Adam Marzec, Jamie Cummins, Jezzrael Sapigao, Oskars Berzins, Patrick Wrencher Jr",3,449,1.5,14,6,20,30,1,6,16.7,1,1,100,8,6,14,0,2,0,1,1,12,66.9,65.3,68.5,36.7,35.1,32.5,34.2,0,61.5,85.7,4.7,5,30,114.6,8,3,10,30,0,4,0,2,2,100,1,5,6,0,0,0,3,1,13,30,36.8,21.6,14.3,40,62.5,4,1,25,1,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,2
Cobham Cobras Senior Men,"Abdul Oladipupo, Akobuike Orlu, Charlie Ollis, John Stewart, Joshua Osei",1,300,0.0,5,2,9,22.2,1,3,33.3,0,0,0,1,5,6,2,0,1,4,0,12,88.6,92,85.1,26.1,28.2,27.8,27.8,100,20,55.6,26.7,0,33.3,43.5,6,3,11,27.3,0,1,0,0,1,0,4,4,8,2,1,0,3,1,11,27.3,26.2,20.8,44.4,9.1,56.4,1,0,0,1,0,0,0,0,0,0,0,0,0,-12.9,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4
Barking Abbey Senior Men I,"Dwayne Orija, Folarin Oguntuase, Ian-Titus Warari, Joshua Mendes, Oskaras Visockas",1,352,2.2,14,6,10,60,1,3,33.3,1,4,25,3,4,7,4,3,0,3,2,12,73.4,83.1,63.6,28.9,37.7,65,59.5,66.7,60,57.1,16,40,30,114.8,4,2,10,20,0,6,0,0,0,0,3,2,5,0,1,0,3,2,9,20,20,23.1,42.9,60,42.9,5,4,80,0,0,0,0,0,0,0,0,0,0,72,4,2,50,0,0,0,0,0,0,0,0,0,0,3,5,4,2,0,2
Leicester Warriors Senior Men,"Benson Agrobo, Jaguar Jackson, Malachi Nelson, Malik Alechicus Legania, Taiwo Hamilton",5,402,0.2,8,3,10,30,1,3,33.3,1,2,50,2,4,6,2,0,1,3,7,12,71.3,71.7,70.9,33.5,33.8,35,36.8,66.7,25,80,18.9,20,30,66.6,9,3,6,50,0,2,0,3,8,37.5,1,6,7,2,1,0,3,2,12,50,47.3,24,20,33.3,75.8,2,1,50,1,0,0,0,0,0,0,0,0,0,-9.1,0,0,0,1,1,100,1,0,0,0,0,0,0,5,0,3,2,0,2
