Canonical,Team,Numbers,Variations
Sion Gordon,Manchester Magic Senior Men I,6,Sion Gordon
Nathan Brown,Manchester Magic Senior Men I,1/2/7,Nathan Brown
Jack Walton,Manchester Magic Senior Men I,8,Jack Walton
Kieran Lee,Manchester Magic Senior Men I,12/5/9,Kieran Lee
Daniel Davies,Manchester Magic Senior Men I,13,Daniel Davies
Joshua Pearce,Manchester Magic Senior Men I,14,Joshua Pearce
Bailey Goodall,Manchester Magic Senior Men I,15,Bailey Goodall
Joshua Kubacki,Manchester Magic Senior Men I,10/17,Joshua Kubacki
Malik Robinson,Oxford Hoops Senior Men,0/3/6,Malik Robinson
Malaki Hilsdon,Oxford Hoops Senior Men,3,Malaki Hilsdon
Oskars Berzins,Oxford Hoops Senior Men,5,Oskars Berzins
Mukhtar Adelakun,Oxford Hoops Senior Men,10,Mukhtar Adelakun
Fred Wabwire,Oxford Hoops Senior Men,11,Fred Wabwire
Adam Marzec,Oxford Hoops Senior Men,14,Adam Marzec
Mohamed Keita Sakine,Oxford Hoops Senior Men,18/23,Mohamed Keita Sakine
Errol Otto,Oxford Hoops Senior Men,30,Errol Otto
Patrick Wrencher Jr,Oxford Hoops Senior Men,33,Patrick Wrencher Jr
Zakariah Missouri,Teesside Lions Senior Men,2,Zakariah Missouri
Will Day,Teesside Lions Senior Men,6,Will Day
Guillaume Groves,Teesside Lions Senior Men,18/20,Guillaume Groves
Benas Maldutis,Teesside Lions Senior Men,20/4,Benas Maldutis
Sheja Gakuba,Teesside Lions Senior Men,22/8,Sheja Gakuba
Zion Lawson,Teesside Lions Senior Men,27/53,Zion Lawson
Beau Sproul,Teesside Lions Senior Men,10/28,Beau Sproul
Onaopemipo Emmanuel Adeniyi,Teesside Lions Senior Men,30,Onaopemipo Emmanuel Adeniyi
Jaydon Wise-Malcolm,Teesside Lions Senior Men,31,Jaydon Wise-Malcolm
Sam Forster,Teesside Lions Senior Men,34,Sam Forster
Prince Banda,Leicester Warriors Senior Men,14/4/6/7,Prince Banda
Callum Keys,Leicester Warriors Senior Men,6,Callum Keys
Pakadashe Chingombe,Leicester Warriors Senior Men,14/6/8,Pakadashe Chingombe
Malachi Nelson,Leicester Warriors Senior Men,9,Malachi Nelson
Ashley Kalugin-Ugo,Leicester Warriors Senior Men,10,Ashley Kalugin-Ugo
Benson Agrobo,Leicester Warriors Senior Men,11,Benson Agrobo
Danny Mcdonald,Leicester Warriors Senior Men,12,Danny Mcdonald
Kofe Cross,Leicester Warriors Senior Men,13/8,Kofe Cross
Elhji Toure Jabby,Leicester Warriors Senior Men,14/15,Elhji Toure Jabby
D. Tosia,Leicester Warriors Senior Men,5,D Tosia
F. Rogers,Teesside Lions Senior Men,49,F Rogers
C. Smythe,Teesside Lions Senior Men,45,C Smythe
Harry Godwin,Worcester Wolves Senior Men,1/10,Harry Godwin
Daijaun Julianni Antonio,Worcester Wolves Senior Men,2/4,Daijaun Julianni Antonio
Chukwudumekwu Okibe,Worcester Wolves Senior Men,3/30,Chukwudumekwu Okibe
Finlay Rennie,Worcester Wolves Senior Men,5,Finlay Rennie
Wilfrid Santhe,Worcester Wolves Senior Men,6,Wilfrid Santhe
Humberto Ferreira,Worcester Wolves Senior Men,10/8,Humberto Ferreira
Isaiah Dapaah,Worcester Wolves Senior Men,11/14,Isaiah Dapaah
Luan Ferreira,Worcester Wolves Senior Men,12,Luan Ferreira
Georgios Stergiopoulos,Worcester Wolves Senior Men,13/9,Georgios Stergiopoulos
Christian Rufus Shaba,Worcester Wolves Senior Men,15,Christian Rufus Shaba
Earl Burgess,Worcester Wolves Senior Men,21,Earl Burgess
Edsan Neblett,Worcester Wolves Senior Men,22/3,Edsan Neblett
Tyler Lister,Sheffield Sharks Senior Men,0/18,Tyler Lister
Declan Kom,Sheffield Sharks Senior Men,2/34/8,Declan Kom
Wesley Skaines,Sheffield Sharks Senior Men,3,Wesley Skaines
Oscar Baldwin,Sheffield Sharks Senior Men,1/31/6/66/7/8,Oscar Baldwin
Gabriel Cousins,Sheffield Sharks Senior Men,8,Gabriel Cousins
Owen Mccarthy,Sheffield Sharks Senior Men,9,Owen Mccarthy
Daniel Quinland,Sheffield Sharks Senior Men,11,Daniel Quinland
Sedale Hanson-Young,Sheffield Sharks Senior Men,10/12,Sedale Hanson-Young
Courtney Alexander,Sheffield Sharks Senior Men,15/31,Courtney Alexander
Charles Andrews,Sheffield Sharks Senior Men,21/22,Charles Andrews
Calum Johnstone,Sheffield Sharks Senior Men,34/9,Calum Johnstone
Ikenna-Noel Inwugwu,Cobham Cobras Senior Men,3,Ikenna-Noel Inwugwu
Andrew Wilding,Cobham Cobras Senior Men,4,Andrew Wilding
Guy Rundle,Cobham Cobras Senior Men,5,Guy Rundle
John Stewart,Cobham Cobras Senior Men,6,John Stewart
Marcel Alexandre Dias Mendes,Cobham Cobras Senior Men,17,Marcel Alexandre Dias Mendes
Carl Ntifo,Cobham Cobras Senior Men,1/19/50/77,Carl Ntifo
Vakaris Steponavicius,Cobham Cobras Senior Men,20,Vakaris Steponavicius
Justas Muzikevicius,Cobham Cobras Senior Men,21,Justas Muzikevicius
Max Coupe,Cobham Cobras Senior Men,30,Max Coupe
Lee Terence Mustre,Cobham Cobras Senior Men,33/7,Leonard Mustre; Lee Terence Mustre
