# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 514
# Qualified players exported: 225
# Total stints used: 13207
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Phoenix Hagen,30,Jeffrey Carroll,1795,-0.25,-1.45,-1.7
Phoenix Hagen,13,Dominick Jordan von Waaden,863,-1.29,-0.44,-1.73
Artland Dragons,12,Elijah Ndi,1160,-0.52,-1.21,-1.73
Nürnberg Falcons BC,16,Julius Wolf,709,0.65,-2.41,-1.76
Paderborn Baskets,26,Leonard Kröger,488,1.51,-3.33,-1.82
Bayer Giants Leverkusen,11,Ricardo Lynch,1220,-1.4,-0.43,-1.83
Tigers Tübingen,1,Bernard Joel Pelote III,1806,-0.64,-1.24,-1.88
BBC Bayreuth,23,KeVaughn Allen,1654,-0.95,-0.97,-1.91
SBB Baskets ,0,Joshua Bonga,316,-1.45,-0.48,-1.94
Eisbären Bremerhaven,21,Till Isemann,401,-2.07,0.12,-1.94
Nürnberg Falcons BC,10,Evan Derek Taylor,1504,-0.14,-1.84,-1.97
Nürnberg Falcons BC,44,Lars Lagerpusch,591,-2.72,0.66,-2.06
HAKRO Merlins Crailsheim,22,Antonio Dewane Madlock JR,1030,-2.95,0.87,-2.07
Uni Baskets Münster,0,Andrew O'Brien,1315,-0.68,-1.4,-2.08
VfL SparkassenStars Bochum,9,Jonas Grof,1483,-0.85,-1.26,-2.11
Nürnberg Falcons BC,4,Joscha Eckert,276,-3.26,1.12,-2.14
Paderborn Baskets,11,Karl Bühner,1285,-1.93,-0.22,-2.15
Eisbären Bremerhaven,8,Jemarl Lemuel Baker Jr,1504,-1.24,-0.92,-2.16
SBB Baskets ,1,Trey Thompson Stewart,997,-2.66,0.45,-2.21
PS Karlsruhe LIONS,14,Brandon Angelo Porter,281,-2.49,0.27,-2.23
Paderborn Baskets,10,Nicolas Ignacio Marty-Decker,1214,-0.56,-1.67,-2.23
Paderborn Baskets,22,Aaron Kayser,857,-2.52,0.28,-2.24
EPG Baskets Koblenz,9,Jonas Niedermanner,1411,-2.61,0.36,-2.25
VfL SparkassenStars Bochum,99,Aitor Julen Pickett Lazo,450,-1.0,-1.31,-2.31
PS Karlsruhe LIONS,7,Wesley Chima Oba,1454,-3.94,1.58,-2.36
Eisbären Bremerhaven,4,Jordan Samare,1275,-0.02,-2.41,-2.43
Tigers Tübingen,23,Melkisedek Kwaku Moreaux,1363,-3.21,0.71,-2.49
Eisbären Bremerhaven,31,Hendrik Warner,732,-3.85,1.28,-2.57
Eisbären Bremerhaven,9,Anton Meyer,278,-2.23,-0.34,-2.57
GIESSEN 46ers,24,Roland L'Amour Nyama,308,-2.2,-0.42,-2.62
RheinStars Köln,13,Adam John Paige,1130,0.12,-2.94,-2.82
BG Göttingen,17,Mathis Mönninghoff,1607,1.21,-4.04,-2.83
Paderborn Baskets,0,Efosa K Irobun Osawe,1390,0.47,-3.37,-2.9
Bozic Estriche Knights Kirchheim,8,Lucas Mayer,2113,-4.06,1.16,-2.9
Uni Baskets Münster,10,Julian Lamont Larry,742,-2.25,-0.72,-2.97
Tigers Tübingen,15,Patrick Etienne Fardy Emilien,715,-0.04,-3.01,-3.05
Paderborn Baskets,5,Matej Silic,874,-1.81,-1.25,-3.05
SBB Baskets Wolmirstedt,2,Travis Henson,311,-1.49,-1.59,-3.08
Tigers Tübingen,26,Till-Joscha Jönke,801,-2.9,-0.21,-3.11
BBC Bayreuth,8,Nat Diallo,1001,-2.03,-1.09,-3.12
HAKRO Merlins Crailsheim,3,Maurice Stuckey,414,-4.23,1.11,-3.12
Uni Baskets Münster,4,Nicholas Khalil Mc Mullen,1261,-0.88,-2.28,-3.16
Nürnberg Falcons BC,12,Georgios Gkiouzelis,373,-0.7,-2.5,-3.2
BG Göttingen,11,Robin Lodders,942,-1.15,-2.06,-3.21
Uni Baskets Münster,6,Thore Dilschmann,1120,-2.24,-1.0,-3.23
Bozic Estriche Knights Kirchheim,19,Aeneas Jung,1352,-2.79,-0.7,-3.49
Tigers Tübingen,5,Kaya Kaan Hakan Bayram,1186,-0.63,-2.87,-3.5
VfL SparkassenStars Bochum,4,Niklas Geske,1435,-0.99,-2.52,-3.51
BBC Bayreuth,51,Louis Nauthon,379,-2.92,-0.65,-3.57
GIESSEN 46ers,17,Domagoj Vukovic,319,-3.23,-0.56,-3.79
Uni Baskets Münster,21,Deshon Davion Taylor,346,-1.26,-2.62,-3.88
PS Karlsruhe LIONS,20,Julian Albus,528,-2.6,-1.42,-4.01
Artland Dragons,16,Fynn Lastring,857,-1.79,-2.31,-4.1
Paderborn Baskets,7,Tom Brüggemann,294,-4.01,-0.14,-4.15
Bayer Giants Leverkusen,51,Sören Urbansky,779,-1.97,-2.3,-4.27
Paderborn Baskets,6,Grant Teichmann,1356,-3.19,-1.11,-4.3
EPG Baskets Koblenz,4,Aleksa Kovacevic,1092,-2.11,-2.25,-4.36
SBB Baskets ,7,Daivien Latrell Williamson,1413,-0.54,-3.83,-4.36
Eisbären Bremerhaven,22,Peter Hemschemeier,454,-3.2,-1.18,-4.38
Bozic Estriche Knights Kirchheim,13,Nicholas Gerard Spinoso,1278,-5.34,0.79,-4.55
Artland Dragons,8,Dominik Dolic,462,-1.99,-2.73,-4.72
GIESSEN 46ers,1,Daniel Alexander Norl,1547,-0.97,-3.78,-4.74
SBB Baskets Wolmirstedt,28,Alieu Ceesay,267,-3.2,-1.62,-4.82
Tigers Tübingen,3,Miles Lamar Tention,1298,-4.27,-0.69,-4.96
VfL SparkassenStars Bochum,12,Matthew Douglas Strange,535,-0.02,-5.02,-5.04
PS Karlsruhe LIONS,24,Jason George,268,-4.23,-1.42,-5.64
PS Karlsruhe LIONS,34,David Allan Cohn,1050,-1.54,-4.24,-5.78
BBC Bayreuth,12,Cantia Jevon Rahming,1220,-3.23,-2.59,-5.81
Artland Dragons,1,Nathan Joseph Petrone,1158,-3.91,-1.94,-5.85
RheinStars Köln,22,Justin Onyejiaka,805,-3.28,-2.68,-5.96
VfL SparkassenStars Bochum,22,Malek Green,967,-0.89,-5.08,-5.98
Uni Baskets Münster,3,Paul Viefhues,1317,-1.92,-4.08,-6.01
BBC Bayreuth,35,Artem Kovalov,440,-5.13,-1.14,-6.27
RheinStars Köln,5,Rupert Hennen,456,-3.5,-2.98,-6.48
Bayer Giants Leverkusen,15,Donte Nicholas,1422,-3.83,-2.84,-6.67
Bayer Giants Leverkusen,10,Sebastian Brach,1447,-2.87,-3.87,-6.74
PS Karlsruhe LIONS,6,Gabriel Kuku,979,-4.81,-3.12,-7.94
EPG Baskets Koblenz,2,Badu Buck,1316,-3.63,-4.55,-8.18
Uni Baskets Münster,55,Philip Anthony Alston,516,-6.95,-2.37,-9.32
