game_id,game_date,team_name,team_code,opponent,home_away,score,opp_score,full_score,p1_score,p2_score,p3_score,p4_score,in_ot,timeouts_left,fouls,attendance,period_type,periods_max,officials,coach,tot_sMinutes,tot_sFieldGoalsMade,tot_sFieldGoalsAttempted,tot_sFieldGoalsPercentage,tot_sThreePointersMade,tot_sThreePointersAttempted,tot_sThreePointersPercentage,tot_sTwoPointersMade,tot_sTwoPointersAttempted,tot_sTwoPointersPercentage,tot_sFreeThrowsMade,tot_sFreeThrowsAttempted,tot_sFreeThrowsPercentage,tot_sReboundsDefensive,tot_sReboundsOffensive,tot_sReboundsTotal,tot_sAssists,tot_sTurnovers,tot_sSteals,tot_sBlocks,tot_sBlocksReceived,tot_sFoulsPersonal,tot_sFoulsOn,tot_sFoulsTotal,tot_sPoints,tot_sPointsFromTurnovers,tot_sPointsSecondChance,tot_sPointsFastBreak,tot_sBenchPoints,tot_sPointsInThePaint,tot_sTimeLeading,tot_sBiggestLead,tot_sBiggestScoringRun,tot_sLeadChanges,tot_sTimesScoresLevel,tot_sFoulsTeam,tot_sReboundsTeam,tot_sReboundsTeamDefensive,tot_sReboundsTeamOffensive,tot_sTurnoversTeam,tot_eff_1,tot_eff_2,tot_eff_3,tot_eff_4,tot_eff_5,tot_eff_6,tot_eff_7
2702589,2025-12-07,Cheshire Phoenix,CHE,Leicester Riders,home,88,89,88,20,24,23,21,0,0,8,0,REGULAR,4,referee1: Bob Bhania; referee2: Matthew Godsall; referee3: Robert Leszczyk,Ben Thomas,199:60,37,75,49,11,33,33,26,42,61,3,6,50,24,10,34,16,15,8,3,6,18,12,18,88,21,11,10,44,48,14.47,9,15,6,7,0,5,3,2,0,93,2,62.4,221.5,80,93,93
2702589,2025-12-07,Leicester Riders,LEI,Cheshire Phoenix,away,89,88,89,19,28,17,25,0,0,4,0,REGULAR,4,referee1: Bob Bhania; referee2: Matthew Godsall; referee3: Robert Leszczyk,Rob Paternostro,199:60,32,68,47,8,24,33,24,44,54,17,21,80,30,12,42,25,15,9,6,3,13,17,13,89,18,4,7,3,48,21.186666666667,10,6,6,7,0,4,0,4,1,116,2,80.5,318,116,116,116
2702590,2025-12-19,Bristol Flyers,BRI,Caledonia Gladiators,home,87,67,87,21,17,24,25,0,0,3,560,REGULAR,4,referee1: Tahir Akar; referee2: Ian Green; referee3: Jack Davies,Andreas Kapoulas,200:00,33,69,47,7,24,29,26,45,57,14,19,73,34,14,48,21,12,6,5,3,16,17,16,87,14,14,11,28,50,38.883333333333,23,9,0,1,0,4,3,1,0,114,2,75.7,304.5,112,114,114
2702590,2025-12-19,Caledonia Gladiators,CAL,Bristol Flyers,away,67,87,67,14,19,18,16,0,0,4,560,REGULAR,4,referee1: Tahir Akar; referee2: Ian Green; referee3: Jack Davies,Jonny Bunyan,200:00,24,71,33,6,27,22,18,44,40,13,15,86,25,13,38,15,13,9,3,5,17,16,17,67,7,4,6,14,30,0,,6,0,1,0,4,1,3,0,70,2,44.5,151,64,70,70
2702591,2025-12-19,London Lions,LON,Manchester Basketball,home,74,91,74,23,20,16,15,0,0,6,3099,REGULAR,4,referee1: Bob Bhania; referee2: Steve Stredwick; referee3: M.A. Diamond-Hunter,Tautvydas Sabonis,199:60,25,65,38,11,23,47,14,42,33,13,22,59,24,12,36,18,11,6,3,1,19,15,19,74,9,9,15,31,24,13.216666666667,7,7,7,5,0,3,2,1,0,77,2,52.6,179.5,72,77,77
2702591,2025-12-19,Manchester Basketball,MAN,London Lions,away,91,74,91,22,24,33,12,0,0,4,3099,REGULAR,4,referee1: Bob Bhania; referee2: Steve Stredwick; referee3: M.A. Diamond-Hunter,Matthew Otten,199:60,33,64,51,12,25,48,21,39,53,13,18,72,32,8,40,20,10,11,1,3,15,19,15,91,11,8,9,22,34,24.475,22,13,7,5,0,2,2,0,0,117,2,82.3,310,118,117,117
2702594,2025-12-19,Newcastle Eagles,NEW,Leicester Riders,home,98,85,98,30,25,10,33,0,0,6,0,REGULAR,4,referee1: Paul Walton; referee2: Christopher Dodds; referee3: Matthew Armstrong,Marc Steutel,199:60,36,74,48,15,36,41,21,38,55,11,14,78,29,7,36,24,10,7,5,3,26,15,26,98,8,8,17,27,40,39.3,15,8,0,2,0,5,2,3,0,119,2,79.9,266.5,104,119,119
2702594,2025-12-19,Leicester Riders,LEI,Newcastle Eagles,away,85,98,85,21,24,18,22,0,0,4,0,REGULAR,4,referee1: Paul Walton; referee2: Christopher Dodds; referee3: Matthew Armstrong,Rob Paternostro,199:60,26,65,40,7,24,29,19,41,46,26,31,83,31,12,43,15,12,6,3,5,15,25,15,85,7,10,2,25,34,0,,10,0,2,0,4,1,3,0,96,2,66.2,243.5,101,96,96
2702597,2025-12-19,Surrey 89ers,SUR,Cheshire Phoenix,home,79,101,79,16,15,24,24,0,0,6,0,REGULAR,4,referee1: Beyti Ozgur; referee2: Matthew Godsall; referee3: Robert Leszczyk,Lloyd Gardner,199:60,32,75,42,5,23,21,27,52,51,10,18,55,26,17,43,28,11,3,6,6,17,15,17,79,12,14,22,22,52,4.75,3,9,10,4,0,5,2,3,1,97,2,64.8,251.5,89,97,97
2702597,2025-12-19,Cheshire Phoenix,CHE,Surrey 89ers,away,101,79,101,17,26,28,30,0,0,5,0,REGULAR,4,referee1: Beyti Ozgur; referee2: Matthew Godsall; referee3: Robert Leszczyk,Ben Thomas,199:60,39,79,49,11,33,33,28,46,60,12,15,80,27,16,43,26,7,6,6,6,15,17,15,101,8,12,16,49,52,33.7,22,9,10,4,0,3,2,1,0,132,2,94.8,352.5,128,132,132
2702600,2025-12-21,Manchester Basketball,MAN,Surrey 89ers,home,94,80,94,18,28,23,25,0,0,11,0,REGULAR,4,referee1: Paul Walton; referee2: Joan Laplana; referee3: Monika Winiarska,Matthew Otten,199:60,37,70,52,4,14,28,33,56,58,16,25,64,32,11,43,25,11,8,6,4,19,17,19,94,13,8,18,40,64,38.75,20,9,2,1,0,5,2,3,0,123,2,84.6,334,115,123,123
2702600,2025-12-21,Surrey 89ers,SUR,Manchester Basketball,away,80,94,80,15,25,11,29,0,0,7,0,REGULAR,4,referee1: Paul Walton; referee2: Joan Laplana; referee3: Monika Winiarska,Lloyd Gardner,199:60,31,85,36,4,18,22,27,67,40,14,19,73,28,21,49,16,12,8,4,6,17,17,17,80,4,16,14,11,44,0.28333333333333,1,7,2,1,0,6,3,3,1,86,2,57.2,213,80,86,86
2702603,2025-12-21,Caledonia Gladiators,CAL,London Lions,home,74,82,74,13,17,17,27,0,0,8,850,REGULAR,4,referee1: Ingus Bankevics; referee2: Lino Figueiredo; referee3: Jose Fuentes,Jonny Bunyan,199:60,32,72,44,9,30,30,23,42,54,1,5,20,29,12,41,20,12,6,4,1,18,16,18,74,18,10,8,23,38,0.25,2,12,2,1,0,2,2,0,0,89,2,55.5,219.5,86,89,89
2702603,2025-12-21,London Lions,LON,Caledonia Gladiators,away,82,74,82,23,22,17,20,0,0,4,850,REGULAR,4,referee1: Ingus Bankevics; referee2: Lino Figueiredo; referee3: Jose Fuentes,Tautvydas Sabonis,199:60,29,69,42,11,32,34,18,37,48,13,16,81,30,13,43,22,11,8,1,4,16,18,16,82,10,21,16,38,34,37.983333333333,20,11,2,1,0,2,0,2,0,102,2,68.9,252.5,100,102,102
2702606,2025-12-27,Leicester Riders,Riders,London Lions,home,75,83,75,19,19,15,22,0,0,7,1800,REGULAR,4,referee1: Beyti Ozgur; referee2: Tahir Akar; referee3: Ian Green,Rob Paternostro,199:60,23,57,40,10,28,35,13,29,44,19,28,67,19,9,28,7,11,10,3,2,16,22,16,75,4,6,8,10,22,10.333333333333,4,7,8,5,0,2,1,1,1,69,2,52.3,165,73,69,69
2702606,2025-12-27,London Lions,Lions,Leicester Riders,away,83,75,83,21,19,22,21,0,0,7,1800,REGULAR,4,referee1: Beyti Ozgur; referee2: Tahir Akar; referee3: Ian Green,Tautvydas Sabonis,199:60,31,56,55,8,24,33,23,32,71,13,14,92,28,5,33,22,14,5,2,3,22,16,22,83,13,9,11,28,40,25.318333333333,12,7,8,5,0,2,2,0,1,105,2,66.7,242,96,105,105
2702609,2025-12-28,Bristol Flyers,BRI,Surrey 89ers,home,86,87,86,21,18,17,21,1,0,8,0,OVERTIME,4,referee1: Steve Stredwick; referee2: Matthew Godsall; referee3: Jack Davies,Andreas Kapoulas,224:60,32,81,39,9,32,28,23,49,46,13,26,50,26,22,48,19,12,10,4,7,20,19,21,86,11,17,7,20,38,15.966666666667,5,10,4,8,1,7,2,5,1,93,2,66.2,229.5,85,93,93
2702609,2025-12-28,Surrey 89ers,SUR,Bristol Flyers,away,87,86,87,19,22,23,13,1,0,6,0,OVERTIME,4,referee1: Steve Stredwick; referee2: Matthew Godsall; referee3: Jack Davies,Lloyd Gardner,224:60,33,65,50,6,17,35,27,48,56,15,26,57,30,11,41,15,16,6,7,4,19,20,19,87,16,10,17,8,46,23.05,14,8,4,8,0,6,4,2,3,97,2,64.8,253,94,97,97
2702611,2025-12-28,Newcastle Eagles,NEW,Caledonia Gladiators,home,79,87,79,21,12,15,31,0,0,5,2600,REGULAR,4,referee1: Christopher Dodds; referee2: Ingus Bankevics; referee3: Lino Figueiredo,Marc Steutel,199:60,28,72,38,10,35,28,18,37,48,13,18,72,24,9,33,14,15,12,2,1,18,16,18,79,16,4,21,24,36,6.3166666666667,6,11,5,3,0,2,1,1,0,76,2,52.3,177,73,76,76
2702611,2025-12-28,Caledonia Gladiators,CAL,Newcastle Eagles,away,87,79,87,21,22,23,21,0,0,6,2600,REGULAR,4,referee1: Christopher Dodds; referee2: Ingus Bankevics; referee3: Lino Figueiredo,Jonny Bunyan,199:60,31,68,45,7,20,35,24,48,50,18,26,69,34,16,50,25,21,9,1,2,16,18,16,87,13,12,16,29,44,32.553333333333,26,14,5,3,0,0,0,0,0,106,2,69.8,286.5,106,106,106
2702615,2025-12-28,Cheshire Phoenix,CHE,Manchester Basketball,home,116,90,116,33,31,31,21,0,0,4,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Armstrong; referee3: Jose Fuentes,Ben Thomas,200:00,44,84,52,17,38,44,27,46,58,11,16,68,32,18,50,21,12,5,2,2,16,13,16,116,12,16,24,48,50,39.7,31,12,0,0,0,5,3,2,0,137,2,97.7,371.5,131,137,137
2702615,2025-12-28,Manchester Basketball,MAN,Cheshire Phoenix,away,90,116,90,23,21,26,20,0,0,3,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Armstrong; referee3: Jose Fuentes,Matthew Otten,200:00,34,78,43,11,32,34,23,46,50,11,12,91,23,12,35,27,10,6,2,2,14,15,15,90,15,9,11,37,42,0,,10,0,0,1,2,0,2,0,105,2,74.6,274.5,103,105,105
2702618,2025-12-30,Caledonia Gladiators,CAL,Manchester Basketball,home,75,88,75,19,15,24,17,0,0,3,1350,REGULAR,4,referee1: Christopher Dodds; referee2: Jonathan Vickerstaff; referee3: Ingus Bankevics,Jonny Bunyan,199:60,30,89,33,8,20,40,22,69,31,7,10,70,25,24,49,17,8,5,1,6,15,12,15,75,11,17,21,32,38,0,,10,0,0,0,5,1,4,0,77,2,51.4,183,68,77,77
2702618,2025-12-30,Manchester Basketball,MAN,Caledonia Gladiators,away,88,75,88,24,26,16,22,0,0,5,1350,REGULAR,4,referee1: Christopher Dodds; referee2: Jonathan Vickerstaff; referee3: Ingus Bankevics,Matthew Otten,199:60,35,71,49,9,25,36,26,46,56,9,11,81,35,10,45,23,12,1,6,1,12,15,12,88,4,8,13,21,44,39.666666666667,20,8,0,0,0,3,2,1,1,113,2,73.5,314.5,115,113,113
2702592,2025-12-30,B. Braun Sheffield Sharks,SHE,Cheshire Phoenix,home,101,97,101,25,21,28,27,0,0,7,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Godsall; referee3: Joan Laplana,Atiba Lyons,200:00,38,74,51,10,20,50,28,54,51,15,25,60,40,13,53,25,15,2,10,5,21,26,21,101,9,11,24,32,46,6.6666666666667,6,9,13,4,0,7,6,1,0,130,2,84.6,339,128,130,130
2702592,2025-12-30,Cheshire Phoenix,CHE,B. Braun Sheffield Sharks,away,97,101,97,34,16,21,26,0,0,8,0,REGULAR,4,referee1: Paul Walton; referee2: Matthew Godsall; referee3: Joan Laplana,Ben Thomas,200:00,32,85,37,17,46,36,15,39,38,16,24,66,28,13,41,19,9,9,5,10,26,19,26,97,18,9,23,11,28,32.041666666667,12,11,13,4,0,7,5,2,1,101,2,71,201.5,84,101,101
2702595,2025-12-30,Leicester Riders,Riders,Bristol Flyers,home,85,73,85,26,20,21,18,0,0,5,1000,REGULAR,4,referee1: Bob Bhania; referee2: Steve Stredwick; referee3: Monika Winiarska,Rob Paternostro,199:60,31,68,45,11,24,45,20,44,45,12,15,80,32,15,47,17,16,8,4,2,12,11,12,85,9,15,12,23,30,39.716666666667,19,12,0,0,0,2,2,0,1,105,2,70.6,283.5,102,105,105
