Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
Hemel Storm,"Shaquille Lewis, M. Norman, V. Eze, D. Parkinson, B. Inger",3,602,12,5,15,33.3,2,7,28.6,0,0,0,1,5,6,3,1,0,6,0,19,85,76.5,93.5,31.4,25.7,40,40,60,12.5,50,25,0,46.7,62.5,34,15,26,57.7,3,9,33.3,1,1,100,5,7,12,5,5,0,3,2,0,63.5,64.3,10.2,50,34.6,144.9,-82.4,6,2,33.3,2,1,50,0,0,0,0,0,0,0,14,10,71.4,1,1,100,0,0,0,0,0,0,0
London Cavaliers,"J. Manning, M. Beasley, D. Braster, A. Roberts, Kailin Panchal-Bedward",2,692,31,12,22,54.5,6,9,66.7,1,1,100,3,5,8,3,4,1,1,3,19,71.9,68.1,75.8,35.3,31.7,68.2,69.1,25,30,62.5,3.8,4.5,40.9,158,19,7,18,38.9,2,10,20,3,4,75,3,7,10,5,1,0,6,3,0,44.4,48.1,23.3,37.5,55.6,87,71,3,2,66.7,4,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0
Loughborough Riders,"J. Campbell, J. Cook, L. Campbell, S. Wylie, D. Hadley",2,522,19,8,21,38.1,3,12,25,0,0,0,1,8,9,5,2,0,0,3,19,85.8,88.3,83.3,27.2,28.8,45.2,45.2,62.5,9.1,66.7,0,0,57.1,99,12,5,18,27.8,1,5,20,1,2,50,4,10,14,2,0,1,4,2,0,30.6,31.8,17.5,33.3,27.8,66.2,32.8,7,4,57.1,0,0,0,0,0,0,0,0,0,0,6,3,50,1,0,0,0,0,0,0,0,0,0
Milton Keynes Breakers,"D. Jackson, L. Gregory, M. New Jr., J. Spencer, B. Freckleton",3,573,21,9,17,52.9,3,7,42.9,0,0,0,2,9,11,8,1,0,5,6,19,86.6,80.4,92.8,29.8,25.9,61.8,61.8,88.9,28.6,90,16.7,0,41.2,109.4,23,8,18,44.4,3,10,30,4,7,57.1,1,5,6,4,4,0,3,0,0,52.8,54.6,12.5,10,55.6,103.8,5.6,8,4,50,0,0,0,1,1,100,0,0,0,0,4,2,50,1,1,100,0,0,0,0,0,0,0
Milton Keynes Breakers,"Ben Morris, M. New Jr., X. Wilson, J. Spencer, B. Freckleton",3,476,20,7,17,41.2,4,9,44.4,2,2,100,1,7,8,4,2,1,3,5,19,96.1,96.2,96,24.9,25.0,52.9,55.9,57.1,12.5,70,12.1,11.8,52.9,104.8,19,5,15,33.3,1,2,50,8,11,72.7,3,7,10,4,1,0,3,3,0,36.7,47.9,13.1,30,13.3,99.8,5,4,2,50,3,0,0,0,0,0,0,0,0,0,5,2,40,2,1,50,0,0,0,0,0,0,0
Milton Keynes Breakers,"Tom Rice, L. Gregory, X. Wilson, J. Spencer, B. Freckleton",4,621,19,8,20,40,1,8,12.5,2,2,100,5,5,10,4,2,1,4,5,19,76.2,73.8,78.7,32.5,30.5,42.5,45.5,50,41.7,62.5,13.9,10,40,99.6,22,8,19,42.1,2,8,25,4,5,80,3,7,10,4,3,3,3,3,0,47.4,51.9,12.4,37.5,42.1,108.1,-8.5,5,3,60,4,2,50,0,0,0,0,0,0,0,6,2,33.3,2,2,100,1,0,0,0,0,0,0
Milton Keynes Breakers,"Tom Rice, M. New Jr., J. Spencer, B. Freckleton, Gabriel Noel",4,597,28,11,22,50,5,11,45.5,1,1,100,2,4,6,6,3,0,0,5,19,81,78.9,83.1,30.4,28.9,61.4,62.4,54.5,20,80,0,4.5,50,142.7,23,7,12,58.3,3,5,60,6,8,75,1,8,9,6,0,1,7,4,0,70.8,74.1,31.1,20,41.7,111.3,31.4,8,5,62.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,100,0,0,0,0
Newcastle Knights,"B. Dean, J. Thames, H. Abdul, M. Jones, M. Matthews",2,527,31,8,12,66.7,2,3,66.7,13,15,86.7,1,8,9,2,2,0,3,4,19,91.4,90.1,92.7,26.6,25.9,75,83.3,25,33.3,72.7,12.7,125,25,156.8,16,6,18,33.3,2,12,16.7,2,5,40,3,2,5,3,2,0,4,9,0,38.9,39.6,16.5,27.3,66.7,78.6,78.1,6,4,66.7,1,0,0,0,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,0
Nottingham Hoods,"A. Adedo, B. Johnson, D. Nixon II, S. Akano, M. Savery-Richards",4,526,26,8,16,50,2,5,40,8,9,88.9,2,10,12,4,1,1,2,4,19,82.9,87.4,78.3,27.5,30.6,56.2,65.1,50,25,90.9,7.7,56.2,31.2,135.7,15,6,17,35.3,2,8,25,1,2,50,1,6,7,5,1,1,1,8,0,41.2,41.9,5.3,9.1,47.1,87.4,48.3,7,4,57.1,1,0,0,2,1,50,0,0,0,0,6,3,50,1,0,0,1,0,0,0,0,0,0
Worthing Thunder,"D. Evans, M. Bryan-Amaning, E. Maynard, J. Lashley, B. Adeluola",2,554,14,7,16,43.8,0,4,0,0,0,0,0,5,5,2,2,1,4,3,19,82.9,83.2,82.7,28.9,29.0,43.8,43.8,28.6,0,83.3,18.2,0,25,72.9,28,11,18,61.1,4,7,57.1,2,2,100,1,9,10,8,2,1,2,1,0,72.2,74.2,9.6,16.7,38.9,146.7,-73.8,6,4,66.7,3,2,66.7,0,0,0,0,0,0,0,10,6,60,0,0,0,0,0,0,0,0,0,0
Worthing Thunder,"J. Hopkins, J. Lashley, A. Scarborough, B. Adeluola, E. Dadds",2,548,23,9,13,69.2,3,5,60,2,2,100,1,8,9,6,0,1,7,2,19,80.3,83.6,77,28.7,31.2,80.8,82.9,66.7,25,61.5,26,15.4,38.5,120.5,22,9,21,42.9,2,7,28.6,2,3,66.7,5,3,8,7,3,0,1,0,0,47.6,49.3,4.3,38.5,33.3,125.1,-4.6,5,5,100,1,1,100,0,0,0,0,0,0,0,7,5,71.4,3,2,66.7,0,0,0,0,0,0,0
Yorkshire Dragons,"B. Tew, J. Whelan, J. Mielke, A. Lycoudis, C. Johnson",2,555,18,6,18,33.3,2,9,22.2,4,4,100,3,6,9,4,4,1,4,3,19,78.1,86.2,70.1,27.8,34.2,38.9,45.5,66.7,27.3,66.7,14.4,22.2,50,90.3,14,5,14,35.7,2,8,25,2,2,100,3,8,11,2,2,0,5,2,0,42.9,47,25.2,33.3,57.1,86.4,3.9,5,2,40,1,0,0,0,0,0,0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0
Birmingham Rockets,"Orlan Jackman, Z. Powell, E. Donaldson, L. McGregor, F. Mughaal",3,521,22,5,14,35.7,1,4,25,11,16,68.8,4,6,10,3,1,0,2,4,18,84,84.2,83.8,28.5,28.6,39.3,52.3,60,40,75,7.7,114.3,28.6,120.4,14,3,13,23.1,2,9,22.2,6,9,66.7,2,6,8,3,0,0,4,10,0,30.8,41.3,19.1,25,69.2,76.9,43.4,5,4,80,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
