league,season,team,team_abbrev,player_name,Nationality,height,position,age,GP,MIN,PTS,FGM,FGA,FG_pct,ThreePM,ThreePA,ThreeP_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PPG,MPG,RPG,APG,SPG,BPG,TOPG,FPG,MIN_pct,POSS,PACE_EST,PTS_per100,AST_per100,REB_per100,OREB_per100,DREB_per100,STL_per100,BLK_per100,TOV_per100,FGA_per100,FTA_per100,ThreePA_per100,ThreePM_per100,PF_per100,TS_pct,eFG_pct,TS_pct_calc,eFG_pct_calc,TM_TS_pct,ThreePA_rate,FT_rate,Total_S_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,TOV_pct,TOV_pct_calc,STL_pct,BLK_pct,USG_pct,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,AST_TO,AST_ratio,OREB_ratio,DREB_ratio,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,GmSc,GmSc_per_game,BPM,OBPM,DBPM,VORP,Linear_BPM,BPM_Mode,Position_Est,Off_Role_Est,player_url,team_url
SLB,2025-2026,London Lions,,Shavar Reynolds Jr,,,,,30,649.9,300.0,113.0,241.0,46.9,23.0,56.0,0.0,51.0,58.0,0.0,22.0,31.0,53.0,130.0,19.0,1.0,47.0,73.0,10.0,21.663333333333334,1.7666666666666666,4.333333333333333,0.6333333333333333,0.03333333333333333,1.5666666666666667,2.433333333333333,54.2,1203.4,40.1,24.9,10.8,4.4,1.8,2.6,1.6,0.1,3.9,20.0,4.8,4.7,1.9,6.1,56.3,51.7,56.3,51.7,58.3,23.2,0.241,124.5,4.4,5.6,5.0,34.0,15.0,15.0,1.6,0.2,23.1,1.0,1.2,206.0,97.9,108.1,209.2,7.8,2.77,29.3,41.5,58.5,60.0,23.0,17.0,232.9,7.8,3.7,2.0,1.6,1.1,6.6,position (auto),1.9,3.4,,
SLB,2025-2026,Bristol Flyers,,Joseph Anderson,,,,,32,957.8,397.0,148.0,368.0,40.2,59.0,191.0,0.0,42.0,55.0,0.0,13.0,62.0,75.0,165.0,57.0,1.0,46.0,49.0,12.40625,29.93125,2.34375,5.15625,1.78125,0.03125,1.4375,1.53125,74.8,1856.8,58.0,21.4,8.9,4.0,0.7,3.3,3.1,0.1,2.5,19.8,3.0,10.3,3.2,2.6,50.6,48.2,50.6,48.2,52.9,51.9,0.149,107.9,1.5,7.6,4.5,30.1,10.5,10.5,3.1,0.1,20.7,0.8,1.1,178.2,106.6,71.6,312.4,7.3,3.59,27.4,17.3,82.7,44.8,44.6,10.6,328.7,10.3,2.1,0.7,1.3,1.2,10.0,position (auto),1.9,3.3,,
SLB,2025-2026,London Lions,,Kameron Mcgusty,,,,,24,534.3,244.0,92.0,212.0,43.4,16.0,53.0,0.0,44.0,64.0,0.0,8.0,57.0,65.0,83.0,29.0,5.0,34.0,40.0,10.166666666666666,22.2625,2.7083333333333335,3.4583333333333335,1.2083333333333333,0.20833333333333334,1.4166666666666667,1.6666666666666667,55.7,989.3,41.2,24.7,8.4,6.6,0.8,5.8,2.9,0.5,3.4,21.4,6.5,5.4,1.6,4.0,50.8,47.2,50.8,47.2,58.3,25.0,0.302,115.1,1.9,12.6,7.5,26.3,12.4,12.4,2.9,1.0,24.5,0.8,1.2,182.2,97.9,84.3,174.8,7.5,2.44,23.2,12.3,87.7,62.3,19.7,18.0,187.7,7.8,3.7,0.6,3.1,0.9,9.0,position (auto),2.3,4.0,,
SLB,2025-2026,Cheshire Phoenix,,Skyler White,,,,,35,864.2,464.0,157.0,355.0,44.2,97.0,242.0,0.0,53.0,73.0,0.0,42.0,138.0,180.0,57.0,23.0,33.0,34.0,95.0,13.257142857142858,24.691428571428574,5.142857142857143,1.6285714285714286,0.6571428571428571,0.9428571428571428,0.9714285714285714,2.7142857142857144,61.7,1813.2,51.8,25.6,3.1,9.9,2.3,7.6,1.3,1.8,1.9,19.6,4.0,13.3,5.3,5.2,59.9,57.9,59.9,57.9,57.7,68.2,0.206,130.7,5.2,17.9,11.3,10.0,8.1,8.1,1.3,3.4,20.6,0.7,1.3,191.9,108.1,83.8,347.4,9.4,1.68,11.9,23.3,76.7,25.9,62.7,11.4,355.1,10.1,3.3,3.1,0.2,1.4,10.5,position (auto),3.3,4.5,,
SLB,2025-2026,Cheshire Phoenix,,Jaxon Brenchley,,,,,35,918.9,355.0,129.0,274.0,47.1,50.0,135.0,0.0,47.0,65.0,0.0,45.0,101.0,146.0,92.0,37.0,8.0,25.0,50.0,10.142857142857142,26.254285714285714,4.171428571428572,2.6285714285714286,1.0571428571428572,0.22857142857142856,0.7142857142857143,1.4285714285714286,65.6,1928.0,55.1,18.4,4.8,7.6,2.3,5.2,1.9,0.4,1.3,14.2,3.4,7.0,2.6,2.6,58.7,56.2,58.7,56.2,57.7,49.3,0.237,129.6,5.2,12.3,8.6,14.3,7.6,7.6,1.9,0.8,15.0,0.6,1.3,219.7,108.1,111.6,332.9,8.2,3.68,21.9,30.8,69.2,44.5,42.3,13.2,331.4,9.5,2.8,2.4,0.4,1.4,9.4,position (auto),2.8,4.4,,
SLB,2025-2026,Surrey 89ers,,Ronald Polite Iii,,,,,35,913.2,496.0,174.0,337.0,51.6,37.0,104.0,0.0,111.0,141.0,0.0,32.0,90.0,122.0,199.0,31.0,9.0,87.0,92.0,14.17142857142857,26.091428571428573,3.4857142857142858,5.685714285714286,0.8857142857142857,0.2571428571428571,2.4857142857142858,2.6285714285714286,65.2,1807.9,51.7,27.4,11.0,6.7,1.8,5.0,1.7,0.5,4.8,18.6,7.8,5.8,2.0,5.1,62.1,57.1,62.1,57.1,57.1,30.9,0.418,147.2,4.1,10.8,7.6,35.6,17.9,17.9,1.7,0.9,23.8,1.1,1.5,208.0,111.5,96.5,395.9,9.9,2.29,29.0,26.2,73.8,55.2,22.4,22.4,419.9,12.0,3.1,3.2,-0.1,1.4,9.5,position (auto),2.2,2.6,,
SLB,2025-2026,Caledonia Gladiators,,Ria'n Holland,,,,,1,32.1,15.0,3.0,6.0,50.0,3.0,5.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,1.0,2.0,15.0,32.1,5.0,1.0,2.0,0.0,1.0,2.0,80.2,63.9,63.9,23.5,1.6,7.8,0.0,7.8,3.1,0.0,1.6,9.4,11.0,7.8,4.7,3.1,82.6,75.0,82.6,75.0,52.9,83.3,1.167,250.0,0.0,18.1,8.8,4.6,9.9,9.9,3.1,0.0,14.0,0.5,2.5,202.2,116.1,86.1,12.6,9.7,1.0,9.0,0.0,100.0,0.0,60.0,40.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,none,3.4,4.0,,
SLB,2025-2026,Manchester Basketball,,Jordan Johnson,,,,,34,743.1,477.0,165.0,367.0,45.0,56.0,150.0,0.0,91.0,118.0,0.0,15.0,67.0,82.0,167.0,28.0,2.0,70.0,46.0,14.029411764705882,21.855882352941176,2.411764705882353,4.911764705882353,0.8235294117647058,0.058823529411764705,2.0588235294117645,1.3529411764705883,54.6,1499.5,44.1,31.8,11.1,5.5,1.0,4.5,1.9,0.1,4.7,24.5,7.9,10.0,3.7,3.1,56.9,52.6,56.9,52.6,56.9,40.9,0.322,130.0,2.3,9.8,6.1,38.3,14.3,14.3,1.9,0.2,29.1,1.2,1.3,183.9,107.9,76.0,326.8,10.5,2.39,25.5,18.3,81.7,45.7,35.2,19.1,363.8,10.7,3.7,4.2,-0.5,1.3,10.8,position (auto),1.8,2.7,,
SLB,2025-2026,London Lions,,Chasson Jermar Randle,,,,,13,249.6,117.0,40.0,82.0,48.8,21.0,52.0,0.0,16.0,17.0,0.0,4.0,24.0,28.0,23.0,5.0,1.0,14.0,27.0,9.0,19.2,2.1538461538461537,1.7692307692307692,0.38461538461538464,0.07692307692307693,1.0769230769230769,2.076923076923077,48.0,462.2,35.6,25.3,5.0,6.1,0.9,5.2,1.1,0.2,3.0,17.7,3.7,11.3,4.5,5.8,65.4,61.6,65.4,61.6,58.3,63.4,0.207,142.7,2.1,11.4,6.9,15.3,13.5,13.5,1.1,0.4,19.8,0.7,1.4,200.0,97.9,102.1,72.6,7.3,1.64,18.2,14.3,85.7,32.5,53.8,13.7,82.2,6.3,4.8,2.7,2.0,0.5,8.2,position (team),2.8,4.3,,
SLB,2025-2026,Cheshire Phoenix,,Frankie Policelli,,,,,34,862.0,427.0,139.0,329.0,42.2,93.0,243.0,0.0,56.0,73.0,0.0,34.0,173.0,207.0,36.0,44.0,16.0,44.0,73.0,12.558823529411764,25.352941176470587,6.088235294117647,1.0588235294117647,1.2941176470588236,0.47058823529411764,1.2941176470588236,2.1470588235294117,63.4,1808.6,53.2,23.6,2.0,11.4,1.9,9.6,2.4,0.9,2.4,18.2,4.0,13.4,5.1,4.0,59.1,56.4,59.1,56.4,57.7,73.9,0.222,129.8,4.2,22.4,13.1,6.1,10.9,10.9,2.5,1.7,19.8,0.6,1.3,171.8,108.1,63.7,332.1,8.6,0.82,8.2,16.4,83.6,21.5,65.3,13.1,328.4,9.7,2.4,1.9,0.5,1.2,11.1,position (auto),3.5,4.8,,
SLB,2025-2026,London Lions,,Aaryn Rai,,,,,38,826.6,263.0,105.0,197.0,53.3,18.0,55.0,0.0,35.0,53.0,0.0,67.0,155.0,222.0,59.0,25.0,9.0,36.0,74.0,6.921052631578948,21.75263157894737,5.842105263157895,1.5526315789473684,0.6578947368421053,0.23684210526315788,0.9473684210526315,1.9473684210526316,54.4,1530.5,40.3,17.2,3.9,14.5,4.4,10.1,1.6,0.6,2.4,12.9,3.5,3.6,1.2,4.8,59.7,57.9,59.7,57.9,58.3,27.9,0.269,133.5,10.4,22.1,16.5,11.2,14.0,14.0,1.6,1.2,14.8,0.5,1.3,230.6,97.9,132.7,298.6,7.3,1.64,18.7,30.2,69.8,66.2,20.5,13.3,260.3,6.9,4.5,1.5,2.9,1.6,8.0,position (auto),3.6,4.9,,
SLB,2025-2026,Surrey 89ers,,Isiah Small,,,,,32,939.5,475.0,175.0,360.0,48.6,27.0,76.0,0.0,98.0,137.0,0.0,80.0,188.0,268.0,104.0,36.0,25.0,67.0,94.0,14.84375,29.359375,8.375,3.25,1.125,0.78125,2.09375,2.9375,73.4,1859.9,58.1,25.5,5.6,14.4,4.3,10.1,1.9,1.3,3.6,19.4,7.4,4.1,1.5,5.1,56.5,52.4,56.5,52.4,57.1,21.1,0.381,131.9,10.0,21.9,16.2,18.0,13.7,13.7,1.9,2.5,23.2,0.8,1.3,203.9,111.5,92.4,425.6,9.7,1.55,17.6,29.9,70.1,62.3,17.1,20.6,411.5,12.9,1.6,1.4,0.2,1.0,9.5,position (auto),3.5,4.0,,
SLB,2025-2026,Leicester Riders,,Raequan Battle,,,,,18,543.4,384.0,129.0,274.0,47.1,63.0,147.0,0.0,63.0,71.0,0.0,9.0,66.0,75.0,24.0,18.0,6.0,34.0,49.0,21.333333333333332,30.188888888888886,4.166666666666667,1.3333333333333333,1.0,0.3333333333333333,1.8888888888888888,2.7222222222222223,75.5,1074.8,59.7,35.7,2.2,7.0,0.8,6.1,1.7,0.6,3.2,25.5,6.6,13.7,5.9,4.6,62.9,58.6,62.9,58.6,56.5,53.6,0.259,140.1,1.9,13.5,7.8,8.9,10.0,10.0,1.7,1.0,28.2,0.8,1.4,180.5,110.7,69.8,199.9,10.1,0.71,6.6,12.0,88.0,34.4,49.2,16.4,252.1,14.0,2.5,3.2,-0.7,0.8,11.5,position (team),3.1,4.3,,
SLB,2025-2026,London Lions,,Karolis Lukosiunas,,,,,12,202.0,78.0,27.0,57.0,47.4,24.0,49.0,0.0,0.0,0.0,0.0,2.0,16.0,18.0,13.0,10.0,0.0,11.0,26.0,6.5,16.833333333333332,1.5,1.0833333333333333,0.8333333333333334,0.0,0.9166666666666666,2.1666666666666665,42.1,374.0,31.2,20.9,3.5,4.8,0.5,4.3,2.7,0.0,2.9,15.2,0.0,13.1,6.4,7.0,68.4,68.4,68.4,68.4,58.3,86.0,0.0,136.8,1.3,9.4,5.5,10.2,16.2,16.2,2.7,0.0,16.1,0.5,1.4,179.9,97.9,82.0,48.2,6.0,1.18,16.0,11.1,88.9,7.7,92.3,0.0,52.8,4.4,5.4,2.1,3.3,0.5,8.2,position (team),2.8,4.6,,
SLB,2025-2026,B. Braun Sheffield Sharks,,William Lee,,,,,27,551.1,232.0,88.0,163.0,54.0,33.0,74.0,0.0,23.0,32.0,0.0,31.0,141.0,172.0,23.0,22.0,33.0,21.0,53.0,8.592592592592593,20.41111111111111,6.37037037037037,0.8518518518518519,0.8148148148148148,1.2222222222222223,0.7777777777777778,1.962962962962963,51.0,1067.0,39.5,21.7,2.2,16.1,2.9,13.2,2.1,3.1,2.0,15.3,3.0,6.9,3.1,5.0,65.5,64.1,65.5,64.1,56.7,45.4,0.196,142.3,6.8,29.4,18.4,6.9,10.6,10.6,2.1,6.4,16.7,0.5,1.4,221.8,107.8,114.0,265.0,9.9,1.1,10.4,18.0,82.0,47.4,42.7,9.9,232.5,8.6,5.3,2.7,2.7,1.2,13.2,position (auto),4.0,4.6,,
SLB,2025-2026,London Lions,,Deane Williams,,,,,38,830.6,328.0,114.0,262.0,43.5,35.0,117.0,0.0,65.0,95.0,0.0,49.0,118.0,167.0,65.0,25.0,22.0,49.0,105.0,8.631578947368421,21.857894736842105,4.394736842105263,1.7105263157894737,0.6578947368421053,0.5789473684210527,1.2894736842105263,2.763157894736842,54.6,1537.9,40.5,21.3,4.2,10.9,3.2,7.7,1.6,1.4,3.2,17.0,6.2,7.6,2.3,6.8,54.0,50.2,54.0,50.2,58.3,44.7,0.363,125.2,7.6,16.8,12.4,12.5,13.9,13.9,1.6,2.9,20.3,0.6,1.3,183.2,97.9,85.3,243.9,6.6,1.33,15.6,29.3,70.7,48.2,32.0,19.8,242.8,6.4,2.3,-0.1,2.4,1.1,6.3,position (auto),3.3,4.8,,
SLB,2025-2026,Bristol Flyers,,William Yoakum,,,,,36,906.5,462.0,176.0,328.0,53.7,48.0,120.0,0.0,62.0,83.0,0.0,45.0,108.0,153.0,39.0,46.0,14.0,43.0,69.0,12.833333333333334,25.180555555555557,4.25,1.0833333333333333,1.2777777777777777,0.3888888888888889,1.1944444444444444,1.9166666666666667,63.0,1757.4,48.8,26.3,2.2,8.7,2.6,6.1,2.6,0.8,2.4,18.7,4.7,6.8,2.7,3.9,63.4,61.0,63.4,61.0,52.9,36.6,0.253,140.9,5.5,14.0,9.6,8.1,10.6,10.6,2.6,1.7,20.4,0.6,1.4,214.0,106.6,107.4,332.4,9.2,0.91,8.7,29.4,70.6,55.4,31.2,13.4,370.8,10.3,3.2,1.8,1.4,1.4,11.0,position (auto),3.2,4.0,,
SLB,2025-2026,London Lions,,Mohammad Al-Amin Abdul Adamu,,,,,3,41.8,17.0,6.0,7.0,85.7,3.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,5.0,4.0,5.666666666666667,13.933333333333332,1.3333333333333333,1.6666666666666667,0.0,0.0,1.6666666666666667,1.3333333333333333,34.8,77.4,25.8,22.0,6.5,5.2,0.0,5.2,0.0,0.0,6.5,9.0,2.6,5.2,3.9,5.2,107.9,107.1,107.9,107.1,58.3,57.1,0.286,242.9,0.0,11.3,5.9,19.3,38.8,38.8,0.0,0.0,14.7,0.7,2.4,234.7,97.9,136.8,12.0,6.7,1.0,28.0,0.0,100.0,35.3,52.9,11.8,12.6,4.2,0.0,0.0,0.0,0.0,0.0,none,3.3,4.0,,
SLB,2025-2026,B. Braun Sheffield Sharks,,Fahro Alihodzic,,,,,13,290.2,156.0,61.0,103.0,59.2,0.0,0.0,0.0,34.0,51.0,0.0,30.0,42.0,72.0,27.0,19.0,2.0,18.0,44.0,12.0,22.323076923076922,5.538461538461538,2.076923076923077,1.4615384615384615,0.15384615384615385,1.3846153846153846,3.3846153846153846,55.8,561.9,43.2,27.8,4.8,12.8,5.3,7.5,3.4,0.4,3.2,18.3,9.1,0.0,0.0,7.8,62.2,59.2,62.2,59.2,56.7,0.0,0.495,151.5,12.4,16.6,14.6,16.7,12.5,12.5,3.4,0.7,22.9,0.8,1.5,234.5,107.8,126.7,129.1,11.1,1.5,15.8,41.7,58.3,78.2,0.0,21.8,138.8,10.7,3.5,1.6,1.9,0.5,10.2,position (team),3.4,3.9,,
SLB,2025-2026,Cheshire Phoenix,,Laquincy Rideau,,,,,35,896.8,359.0,128.0,320.0,40.0,38.0,121.0,0.0,65.0,95.0,0.0,51.0,112.0,163.0,187.0,59.0,6.0,100.0,128.0,10.257142857142858,25.622857142857143,4.6571428571428575,5.3428571428571425,1.6857142857142857,0.17142857142857143,2.857142857142857,3.657142857142857,64.1,1881.6,53.8,19.1,9.9,8.7,2.7,6.0,3.1,0.3,5.3,17.0,5.0,6.4,2.0,6.8,49.6,45.9,49.6,45.9,57.7,37.8,0.297,112.2,6.0,14.0,9.9,29.8,21.7,21.7,3.2,0.6,21.7,0.9,1.1,170.0,108.1,61.9,306.4,7.2,1.87,28.8,31.3,68.7,50.1,31.8,18.1,286.4,8.2,-0.2,-1.2,1.0,0.5,5.8,position (auto),2.5,3.7,,
SLB,2025-2026,London Lions,,Jonathan Williams,,,,,14,295.2,132.0,57.0,97.0,58.8,0.0,2.0,0.0,18.0,31.0,0.0,23.0,39.0,62.0,19.0,12.0,8.0,29.0,36.0,9.428571428571429,21.085714285714285,4.428571428571429,1.3571428571428572,0.8571428571428571,0.5714285714285714,2.0714285714285716,2.5714285714285716,52.7,546.6,39.0,24.1,3.5,11.3,4.2,7.1,2.2,1.5,5.3,17.7,5.7,0.4,0.0,6.6,59.7,58.8,59.7,58.8,58.3,2.1,0.32,136.1,10.0,15.6,12.9,11.3,20.8,20.8,2.2,3.0,22.6,0.6,1.4,204.7,97.9,106.8,91.9,7.4,0.66,12.0,37.1,62.9,86.4,0.0,13.6,97.0,6.9,1.9,-0.9,2.8,0.3,5.8,position (team),3.3,4.7,,
SLB,2025-2026,Bristol Flyers,,Cameron Holden,,,,,35,977.4,318.0,114.0,273.0,41.8,18.0,65.0,0.0,72.0,141.0,0.0,86.0,104.0,190.0,166.0,58.0,12.0,69.0,102.0,9.085714285714285,27.925714285714285,5.428571428571429,4.742857142857143,1.6571428571428573,0.34285714285714286,1.9714285714285715,2.914285714285714,69.8,1894.8,54.1,16.8,8.8,10.0,4.5,5.5,3.1,0.6,3.6,14.4,7.4,3.4,0.9,5.4,47.5,45.1,47.5,45.1,52.9,23.8,0.516,116.5,9.8,12.5,11.1,27.9,17.1,17.1,3.1,1.3,18.7,0.7,1.2,182.4,106.6,75.8,340.4,7.1,2.41,29.1,45.3,54.7,60.4,17.0,22.6,309.1,8.8,1.1,-0.9,2.0,0.9,6.8,position (auto),2.7,3.7,,
