Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Patrioti Levice,Gabriel Jerome Dorsey,7,Gabriel Jerome Dorsey,45,24.7,1109.3,495.0,11.0,160.0,373.0,42.9,120.0,279.0,43,55.0,64.0,85.9,17.0,107.0,124.0,36.0,27.0,6.0,35.0,74.0,402.4,18.6,23.0,1.7,5.8,76,571.0,12.7,26.5,9,1.3,3,8,69.0,6.5,7,2.57,-1.16,3.73,3.0,3.7,23.0,13.0,56.5,32.0,16.0,50,41.0,18.0,43.9,15.0,15.0,0.0,5.0,32.0,45.0,65.0
Nitra Blue Wings,Tristan Ekong Ikpe,0,Tristan Ekong Ikpe,45,29.9,1344.4,458.0,10.2,166.0,359.0,46.2,13.0,67.0,19.4,113.0,173.0,65.3,125.0,198.0,323.0,88.0,63.0,47.0,84.0,114.0,378.4,15.0,18.2,3.5,12.9,210,668.0,14.8,26.6,7,1.4,6,4,45.1,7.8,5,2.18,-3.54,5.73,4.0,3.5,223.0,130.0,58.3,12.0,1.0,8.3,0.0,0.0,0,42.0,24.0,0.0,18.0,69.0,48.0,63.0
Nitra Blue Wings,Guy Evers Kennedy Ragland Jr,19,Guy Evers Kennedy Ragland Jr,45,23.9,1075.5,438.0,9.7,169.0,358.0,47.2,59.0,197.0,29.9,41.0,51.0,80.4,78.0,151.0,229.0,61.0,44.0,30.0,52.0,143.0,340.3,16.9,21.8,3.0,11.4,135,573.0,12.7,28.5,6,0.9,9,0,33.3,9.0,7,3.18,-2.42,5.59,3.9,3.0,121.0,93.0,76.9,11.0,7.0,63.6,2.0,0.0,0,26.0,15.0,0.0,11.0,83.0,38.0,81.0
Patrioti Levice,Daniel Chaban,21,Daniel Chaban,45,4.0,180.3,49.0,1.1,14.0,37.0,37.8,6.0,19.0,31.6,15.0,20.0,75,1.0,13.0,14.0,23.0,2.0,0.0,12.0,15.0,54.5,15.5,14.0,6.6,4.0,49,98.0,2.2,28.0,0,0,0,0,0,0.0,0,-2.3,-5.42,3.12,2.2,3.5,5.0,3.0,60,4.0,3.0,75,1.0,1.0,100,6.0,6.0,0.0,0.0,2.0,0.0,5.0
Nitra Blue Wings,Adam Galko,6,Adam Galko,45,4.9,222.4,41.0,0.9,16.0,55.0,29.1,7.0,40.0,17.5,2.0,3.0,66.7,12.0,22.0,34.0,13.0,6.0,2.0,13.0,17.0,55.0,13.2,9.9,3.1,8.2,28,69.0,1.5,16.6,0,0,0,0,0,0.0,0,-4.28,-7.54,3.26,3.0,4.8,11.0,6.0,54.5,0.0,0.0,0,0.0,0.0,0,7.0,4.0,0.0,2.0,9.0,4.0,9.0
BC Slovan Bratislava,Tomáš Pavelka,20,Tomáš Pavelka,43,18.5,796.9,394.0,9.2,163.0,266.0,61.3,1.0,1.0,100,67.0,111.0,60.4,129.0,167.0,296.0,31.0,19.0,64.0,52.0,110.0,228.3,15.5,26.7,2.1,20.1,74,468.0,10.9,31.7,4,1.0,4,0,50.0,5.0,4,4.84,-0.37,5.21,5.0,2.9,229.0,151.0,65.9,12.0,7.0,58.3,0.0,0.0,0,17.0,17.0,0.0,18.0,106.0,14.0,44.0
Nitra Blue Wings,Lukáš Bolek,3/77,Lukáš Bolek,42,27.0,1132.4,351.0,8.4,123.0,272.0,45.2,58.0,159.0,36.5,47.0,52.0,90.4,45.0,83.0,128.0,60.0,27.0,2.0,54.0,112.0,291.7,13.8,16.6,2.8,6.1,131,482.0,11.5,22.8,4,0.7,4,2,41.0,5.9,6,-0.56,-4.29,3.73,2.6,3.5,82.0,52.0,63.4,2.0,0.0,0,0.0,0.0,0,29.0,16.0,1.0,8.0,44.0,44.0,76.0
Nitra Blue Wings,Ľubomír Urban,30/33,Ľubomír Urban,42,7.9,332.4,113.0,2.7,39.0,104.0,37.5,25.0,79.0,31.6,10.0,14.0,71.4,4.0,17.0,21.0,13.0,8.0,0.0,12.0,57.0,113.4,18.2,18.2,2.1,3.4,24,137.0,3.3,22.1,3,3.0,3,0,50.0,3.0,1,-3.61,-6.81,3.2,2.4,4.0,16.0,10.0,62.5,2.0,2.0,100,1.0,0.0,0,7.0,3.0,1.0,1.0,11.0,5.0,13.0
Patrioti Levice,Boris Bojanovský,15,Boris Bojanovský,41,18.9,776.1,333.0,8.1,133.0,174.0,76.4,0.0,0.0,0,67.0,93.0,72,68.0,216.0,284.0,42.0,19.0,53.0,36.0,64.0,175.6,11.6,22.1,2.8,18.9,99,432.0,10.5,28.7,11,2.2,7,2,69.8,7.9,5,7.92,0.49,7.42,5.0,2.7,124.0,100.0,80.6,5.0,3.0,60,0.0,0.0,0,18.0,11.0,0.0,7.0,70.0,24.0,52.0
Iskra Svit,Jasean Jatar Jackson,7,Jason Jackson; Jasean Jatar Jackson,40,32.0,1279.0,699.0,17.5,244.0,590.0,41.4,68.0,198.0,34.3,143.0,171.0,83.6,24.0,91.0,115.0,202.0,45.0,12.0,117.0,100.0,727.9,30.8,29.4,8.5,4.8,460,1159.0,29.0,48.8,31,2.8,27,14,46.7,37.2,11,-0.4,-0.31,-0.09,1.4,1.2,169.0,89.0,52.7,40.0,16.0,40,4.0,2.0,50,72.0,31.0,0.0,14.0,65.0,82.0,89.0
