Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
BC Prievidza,"Anderson Sage Tolbert Iii, Bonke Robert Maring, Jaaden Allister Luke Lewis, Marek Jašš, Noah Craig Reynolds",1,85,0.6,4,2,3,66.7,0,0,0,0,0,0,1,3,4,0,0,0,0,1,2,66.1,54.2,78.1,44.3,30.7,66.7,66.7,0,100,60,0,0,0,208.3,0,0,4,0,0,1,0,0,2,0,2,0,2,0,0,0,0,1,3,0,0,0,40,25,0,2,1,50,0,0,0,0,0,0,0,0,0,0,208.3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Nitra Blue Wings,"Dimitrius Paul Underwood, Jordan Lamont Jones, Maroš Šimko, Oleksandr Belikov, Tristan Ekong Ikpe",1,52,0.0,2,1,2,50,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,76.2,88.6,63.8,27.1,37.6,50,50,100,0,0,0,0,50,104.2,1,0,0,0,0,0,0,1,1,100,0,1,1,0,0,0,1,0,1,0,113.6,69.4,0,0,72.3,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitra Blue Wings,"Dimitrius Paul Underwood, Ladislav Gergely, Lukáš Bolek, Tristan Ekong Ikpe, Ľubomír Urban",1,32,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,144,144,144,16.7,16.7,0,0,0,0,0,50,0,100,0,6,2,2,100,2,2,100,0,0,0,0,1,1,1,1,0,0,0,2,150,150,0,0,100,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-312.5,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,3,3
Patrioti Levice,"Alex Krajčovič, Daniel Chaban, Gabriel Jerome Dorsey, Keith Andre Wesson Jr, Patrik Pažický",1,63,0.0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,73.1,73.1,73.1,32.8,32.8,0,0,0,0,33.3,0,0,50,0,3,1,4,25,1,1,100,0,0,0,2,2,4,1,0,0,0,0,2,37.5,37.5,0,66.7,25,156.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Prievidza,"James Edward Bishop Iv, Marek Jašš, Maroš Zelizňák, Naje' Abdean Smith, Noah Craig Reynolds",1,77,0.0,3,1,2,50,0,0,0,1,1,100,0,1,1,0,0,0,0,0,2,81.4,73,89.8,32.9,26.7,50,61.5,0,0,100,0,50,0,128.1,4,2,3,66.7,0,1,0,0,0,0,0,1,1,2,0,0,0,1,3,66.7,66.7,0,0,33.3,138.9,2,1,50,0,0,0,0,0,0,0,0,0,0,-10.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MBK Baník Handlová,"Jakub Petráš, Jeremy Lamar Mc Laughlin, Jordan Lamont Harris, Juraj Láštic, Marek Foltín",1,71,0.0,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,79.2,64.9,93.5,37.0,25.7,50,50,0,0,0,0,0,0,104.2,4,1,4,25,0,2,0,2,2,100,2,1,3,0,0,1,0,0,3,25,41,0,100,50,144.7,0,0,0,2,1,50,0,0,0,0,0,0,0,-40.5,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MBK Baník Handlová,"Jakub Petráš, Jordan Lamont Harris, Juraj Láštic, Marek Foltín, Petar Dragović",1,53,0.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,2,86.9,86.9,86.9,27.6,27.6,0,0,0,100,0,66.7,0,100,0,2,1,2,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,50,50,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-104.2,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,2,0,0
BC Prievidza,"Anderson Sage Tolbert Iii, James Edward Bishop Iv, Joseph Toussaint, Marek Jašš, Patrik Hričo",1,16,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,279.4,288,270.7,8.3,8.9,0,0,0,0,0,0,0,0,0,3,1,1,100,0,0,0,1,2,50,0,1,1,0,0,1,0,0,2,100,79.8,0,0,0,166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BC Komárno,"Aaron Jamal Naseem Gray, Adeniyi Gabriel Olabode, Corey Kaydon Mckeithan, Máté Balogh, Tyler Terell Millin",2,69,0.0,1,0,1,0,0,1,0,1,2,50,0,1,1,0,0,0,0,0,2,62.8,62.8,62.8,38.2,38.2,0,26.6,0,0,50,0,200,100,55.4,1,0,1,0,0,1,0,1,2,50,1,1,2,0,0,0,1,0,2,0,26.6,34.7,50,100,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC Komárno,"Aaron Jamal Naseem Gray, Adeniyi Gabriel Olabode, Carrington Roderick Wiggins, Corey Kaydon Mckeithan, Máté Balogh",1,45,0.0,4,1,1,100,0,0,0,2,2,100,0,1,1,1,0,0,0,0,2,99.3,96.3,102.4,24.9,23.4,100,106.4,100,0,50,0,200,0,221.6,2,1,3,33.3,0,2,0,0,0,0,1,0,1,0,0,0,0,2,2,33.3,33.3,0,50,66.7,104.2,1,1,100,0,0,0,0,0,0,0,0,0,0,117.5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
