# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 297
# Total stints used: 12800
# Garbage time stints excluded: 459
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Dresden Titans,2,Scott Edward Stone,939,1.82,-2.28,-0.46
EN BASKETS Schwelm,2,Luka Zajic,1012,-0.68,0.2,-0.48
VR-Bank Würzburg Baskets Akademie,8,Eduard Rantz,289,-0.75,0.22,-0.52
Porsche BBA Ludwigsburg,1,Daniel Mack,345,-0.36,-0.21,-0.58
TSV Oberhaching Tropics,5,Philipp Bode,1009,0.84,-1.45,-0.61
BSW Sixers,2,Max Nwokedi,415,-0.1,-0.54,-0.64
Dragons Rhöndorf,16,Benjamin Sadikovic,1167,-0.62,-0.03,-0.66
FC Bayern Basketball II,23,Desmond Obed Yiamu,979,-0.42,-0.3,-0.72
SKYLINERS Juniors,10,Alvin Onyia,1200,-0.23,-0.5,-0.73
ETB Miners,32,Reik Simon Gäbler,512,-2.14,1.4,-0.74
FC Bayern Basketball II,34,Ágúst Godi Kjartansson,814,1.74,-2.51,-0.77
TKS 49ers,16,Jenö Pildner,1177,-1.73,0.93,-0.79
TKS 49ers,9,Alexander Schmidt,494,-2.4,1.61,-0.8
SKYLINERS Juniors,13,Ivan Crnjac,677,0.4,-1.2,-0.8
TSV Neustadt temps Shooters,64,Max Brackmann,553,-0.8,-0.01,-0.81
TSV Oberhaching Tropics,6,Niklas Schüler,852,1.37,-2.27,-0.9
VR-Bank Würzburg Baskets Akademie,23,Marko Petric,1159,-1.39,0.47,-0.92
Hertener Löwen,44,Müslim Akil Özmeral,966,1.02,-1.95,-0.93
BG Hessing Leitershofen,7,Emmanuel Timothy Womala,836,-0.8,-0.14,-0.93
CATL Basketball Löwen,44,Samuel Elias Nellessen,1029,0.5,-1.44,-0.94
OrangeAcademy,0,Namori Omog,1180,2.43,-3.39,-0.97
BG Hessing Leitershofen,24,Jason George,334,-0.56,-0.43,-1.0
LOK BERNAU,22,Nevio Bennefeld,690,-0.41,-0.65,-1.06
Hertener Löwen,7,Esosa Kelvin Okundaye,253,-0.72,-0.43,-1.15
Seawolves Academy,14,Jonas Zilinskas,1172,-0.08,-1.09,-1.17
Porsche BBA Ludwigsburg,14,David Engelhart,771,-1.44,0.2,-1.24
TKS 49ers,6,Lukas Daniel Wagner,1019,-0.93,-0.34,-1.27
RASTA Vechta II,55,Joel Moketo Lungelu,614,-2.07,0.77,-1.3
OrangeAcademy,21,Barna Buglyó,391,-1.67,0.3,-1.37
BG Hessing Leitershofen,15,Jannik Westermeir,1258,-1.32,-0.11,-1.43
BG Hessing Leitershofen,9,Emmanuel Ansah,380,-1.43,-0.05,-1.48
Dragons Rhöndorf,14,Fynn Dobiecki,250,-2.1,0.62,-1.48
BBC Coburg,7,Julian Günther,436,-3.8,2.27,-1.53
TSV Oberhaching Tropics,21,Fynn Fischer,871,-0.91,-0.64,-1.55
Dresden Titans,8,Leo Alban,377,-3.48,1.92,-1.55
RASTA Vechta II,17,Etinosasere Armstrong Ehioghae,339,-1.91,0.34,-1.58
Dragons Rhöndorf,8,Kenan Reinhart,1304,-1.4,-0.19,-1.6
BSW Sixers,77,Paul Manuel Raabe,363,-3.27,1.66,-1.62
Ahorn Camp Baskets,28,David Aichele,837,-1.39,-0.25,-1.64
TV Langen,20,Drago Crnjac,1038,2.26,-3.94,-1.67
EN BASKETS Schwelm,16,Erik Nyberg,1081,-0.64,-1.04,-1.68
VR-Bank Würzburg Baskets Akademie,14,Paul Plato,755,-0.52,-1.22,-1.74
Baskets Juniors TSG Westerstede,10,Lazar Klaric,425,-2.4,0.64,-1.76
Dresden Titans,14,Osasere Best Otakho,916,-1.63,-0.14,-1.77
SC Rist Wedel,12,Jayden Estrus Jr. Fatnassi,579,-1.5,-0.29,-1.79
BSW Sixers,12,Emanuel Ozike,1069,-3.14,1.33,-1.81
CATL Basketball Löwen,17,Noah Kamdem,1006,0.11,-1.93,-1.82
BSW Sixers,4,Ilias Amin,1215,0.51,-2.36,-1.86
