Canonical,Team,Numbers,Variations
Darius Days,SAN-EN NEOPHOENIX,4,Darius Days
Sota Oura,SAN-EN NEOPHOENIX,5,Sota Oura
Hirotaka Yoshii,SAN-EN NEOPHOENIX,10,Hirotaka Yoshii
Hideya Asai,SAN-EN NEOPHOENIX,11,Hideya Asai
Hayato Wakugawa,SAN-EN NEOPHOENIX,14,Hayato Wakugawa
Tshilidzi Kawata,SAN-EN NEOPHOENIX,15,Tshilidzi Kawata
Dai Nemoto,SAN-EN NEOPHOENIX,20,Dai Nemoto
Yusuke Suzuki,SAN-EN NEOPHOENIX,21,Yusuke Suzuki
Kazuma Tsuya,SAN-EN NEOPHOENIX,28,Kazuma Tsuya
Junior Kodama,SAN-EN NEOPHOENIX,33,Junior Kodama
Reynaldo Garcia,SAGA BALLOONERS,2,Reynaldo Garcia
Kosuke Hashimoto,SAGA BALLOONERS,7,Kosuke Hashimoto
Ryo Abe,SAGA BALLOONERS,13,Ryo Abe
Kosuke Kanamaru,SAGA BALLOONERS,14/9,Kosuke Kanamaru
Sori Uchio,SAGA BALLOONERS,18,Sori Uchio
Atsuki Kishida,SAGA BALLOONERS,20,Atsuki Kishida
Toshiki Tomiyama,SAGA BALLOONERS,21,Toshiki Tomiyama
Tanner Groves,SAGA BALLOONERS,22,Tanner Groves
David Dudzinski,SAGA BALLOONERS,23,David Dudzinski
Taiki Sumida,SAGA BALLOONERS,25,Taiki Sumida
Ryota Inoue,SAGA BALLOONERS,34,Ryota Inoue
Josh Harrellson,SAGA BALLOONERS,55,Josh Harrellson
Zach Auguste,SHIGA LAKES,0,Zach Auguste
Ryan Kriener,SHIGA LAKES,4,Ryan Kriener
Taiki Okada,SHIGA LAKES,6,Taiki Okada
Ai-Che Yu,SHIGA LAKES,7,Ai-Che Yu
Yosei Nishida,SHIGA LAKES,14,Yosei Nishida
Daichi Nomoto,SHIGA LAKES,16,Daichi Nomoto
Kohei Tsuneta,SHIGA LAKES,17,Kohei Tsuneta
Thomas Wimbush,SHIGA LAKES,20,Thomas Wimbush
Takanori Tahara,SHIGA LAKES,21,Takanori Tahara
Sean Ichioka,SHIGA LAKES,22,Sean Ichioka
Shintaro Ehara,SHIGA LAKES,25,Shintaro Ehara
Higen Hasegawa,SHIGA LAKES,34,Higen Hasegawa
Yasuhiro Yamashita,SAGA BALLOONERS,5,Yasuhiro Yamashita
Koya Kobari,RYUKYU GOLDEN KINGS,2,Koya Kobari
Vic Law,RYUKYU GOLDEN KINGS,4,Vic Law
Ryo Sadohara,RYUKYU GOLDEN KINGS,8,Ryo Sadohara
Hayate Arakawa,RYUKYU GOLDEN KINGS,10,Hayate Arakawa
Keve Aluma,RYUKYU GOLDEN KINGS,12,Keve Aluma
Ryuichi Kishimoto,RYUKYU GOLDEN KINGS,14,Ryuichi Kishimoto
Yoshiyuki Matsuwaki,RYUKYU GOLDEN KINGS,15,Yoshiyuki Matsuwaki
Shuto Sakihama,RYUKYU GOLDEN KINGS,17,Shuto Sakihama
Masahiro Waki,RYUKYU GOLDEN KINGS,18,Masahiro Waki
Shota Onodera,RYUKYU GOLDEN KINGS,34,Shota Onodera
Jack Cooley,RYUKYU GOLDEN KINGS,45,Jack Cooley
Alex Kirk,RYUKYU GOLDEN KINGS,53,Alex Kirk
Seiya Ando,YOKOHAMA B-CORSAIRS,3,Seiya Ando
Damien Inglis,YOKOHAMA B-CORSAIRS,4,Damien Inglis
Hiroki Taniguchi,YOKOHAMA B-CORSAIRS,7,Hiroki Taniguchi
Gary Clark,YOKOHAMA B-CORSAIRS,8,Gary Clark
Kanta Maeno,YOKOHAMA B-CORSAIRS,10,Kanta Maeno
Cameron Jackson,YOKOHAMA B-CORSAIRS,11/7,Cameron Jackson
Kiefer Ravena,YOKOHAMA B-CORSAIRS,15,Kiefer Ravena
Kenta Morii,YOKOHAMA B-CORSAIRS,18,Kenta Morii
Kai King,YOKOHAMA B-CORSAIRS,23,Kai King
Hiroki Matsuzaki,YOKOHAMA B-CORSAIRS,24,Hiroki Matsuzaki
Koya Sudo,YOKOHAMA B-CORSAIRS,30,Koya Sudo
Tatsumi Yu,YOKOHAMA B-CORSAIRS,51,Tatsumi Yu
Tomoya Hasegawa,ALTIRI CHIBA,8,Tomoya Hasegawa
Yusei Sugiura,SENDAI 89ERS,14,Yusei Sugiura
Taiga Okada,KAWASAKI BRAVE THUNDERS,55,Taiga Okada
David Nwaba,SAN-EN NEOPHOENIX,2,David Nwaba
Yuma Kajiwara,SHIGA LAKES,15/5,Yuma Kajiwara
Keitaro Ohba,SHIGA LAKES,18,Keitaro Ohba
Shogo Taira,RYUKYU GOLDEN KINGS,47,Shogo Taira
Justin Harper,UTSUNOMIYA BREX,32,Justin Harper
Isa Ehara,YOKOHAMA B-CORSAIRS,10/77,Isa Ehara
Koya Kawamata,NAGASAKI VELCA,99,Koya Kawamata
Kotaro Ando,LEVANGA HOKKAIDO,19/9,Kotaro Ando
Yuma Nishimura,LEVANGA HOKKAIDO,40/5,Yuma Nishimura
Chehales Tapscott,KYOTO HANNARYZ,11,Chehales Tapscott
Daniel Kato,CHIBA JETS,44,Daniel Kato
Kai Toews,ALVARK TOKYO,3,Kai Toews
Ryan Rossiter,ALVARK TOKYO,22,Ryan Rossiter
Kengo Nomoto,KAWASAKI BRAVE THUNDERS,10,Kengo Nomoto
Kaleb Tarczewski,YOKOHAMA B-CORSAIRS,25,Kaleb Tarczewski
Avi Koki Schafer,SEAHORSES MIKAWA,32,Avi Koki Schafer
Brandon Davies,ALVARK TOKYO,0,Brandon Davies
Masato Ichikawa,HIROSHIMA DRAGONFLIES,1,Masato Ichikawa
Chase Fieler,SAGA BALLOONERS,60,Chase Fieler
Kenta Whitaker,RYUKYU GOLDEN KINGS,27,Kenta Whitaker
Daichi Kuzuhara,TOYAMA GROUSES,25,Daichi Kuzuhara
Kazuya Mitsui,KOSHIGAYA ALPHAS,10,Kazuya Mitsui
Andrew Randall,RYUKYU GOLDEN KINGS,33/7,Andrew Randall
Jordan Dallas,SAN-EN NEOPHOENIX,21/22,Jordan Dallas
Olufemi Olujobi,SHIMANE SUSANOO MAGIC,0/15,Olufemi Olujobi
AlexanderGaku Aihara,AKITA NORTHERN HAPPINETS,36,AlexanderGaku Aihara
Jamel Mclean,UTSUNOMIYA BREX,1,Jamel Mclean
Leo Sakai,SHIGA LAKES,13,Leo Sakai
Terrance Woodbury,GUNMA CRANE THUNDERS,30,Terrance Woodbury
Kenny Lawson Jr,CHIBA JETS,21/25,Kenny Lawson Jr
Hiryu Okamoto,SHIMANE SUSANOO MAGIC,24,Hiryu Okamoto
Jeffrey Parmer,ALVARK TOKYO,21/4,Jeffrey Parmer
Mark Burton,FIGHTING EAGLES NAGOYA,1,Mark Burton
Taito Nakahigashi,NAGOYA DIAMOND DOLPHINS,12,Taito Nakahigashi
Takaya Sasayama,FIGHTING EAGLES NAGOYA,21,Takaya Sasayama
Faraz Rashid,KYOTO HANNARYZ,24,Faraz Rashid
Rowa Tanno,SENDAI 89ERS,77/8,Rowa Tanno
Atsuya Ogawa,UTSUNOMIYA BREX,7,Atsuya Ogawa
Ryusei Sasaki,SAN-EN NEOPHOENIX,24,Ryusei Sasaki
Shunsuke Ueda,SHIMANE SUSANOO MAGIC,20,Shunsuke Ueda
Ryu Watanabe,HIROSHIMA DRAGONFLIES,21,Ryu Watanabe
Damyean Dotson,RYUKYU GOLDEN KINGS,21,Damyean Dotson
FRANK KAMINSKY,ALVARK TOKYO,44,FRANK KAMINSKY
Kaisei Takahashi,OSAKA EVESSA,7,Kaisei Takahashi
Keisuke Murakoshi,IBARAKI ROBOTS,92,Keisuke Murakoshi
Mylo Murphy,FIGHTING EAGLES NAGOYA,15,Mylo Murphy
Joshua Smith,OSAKA EVESSA,34,Joshua Smith
Ryo Terashima,HIROSHIMA DRAGONFLIES,0,Ryo Terashima
Ryunosuke Satori,RYUKYU GOLDEN KINGS,77,Ryunosuke Satori
Shin Matsumoto,UTSUNOMIYA BREX,21,Shin Matsumoto
Kotaro Fukami,CHIBA JETS,13,Kotaro Fukami
Koshiro Asai,OSAKA EVESSA,51/9,Koshiro Asai
Rui Todoroki,SAGA BALLOONERS,8,Rui Todoroki
Haruki Naito,AKITA NORTHERN HAPPINETS,11,Haruki Naito
Eijiro Ogawa,AKITA NORTHERN HAPPINETS,13,Eijiro Ogawa
Kai Sotto,KOSHIGAYA ALPHAS,11,Kai Sotto
Yuta Tabuse,UTSUNOMIYA BREX,0,Yuta Tabuse
Shori Togaeri,GUNMA CRANE THUNDERS,12,Shori Togaeri
Marial Shayok,ALTIRI CHIBA,1,Marial Shayok
Jeff Gibbs,CHIBA JETS,34,Jeff Gibbs
Quentin Millora-Brown,CHIBA JETS,42,Quentin Millora-Brown
Nagi Sato,YOKOHAMA B-CORSAIRS,11,Nagi Sato
Muusa Dama,SHIMANE SUSANOO MAGIC,25,Muusa Dama
Kanta Inada,KOSHIGAYA ALPHAS,23,Kanta Inada
Kento Akama,IBARAKI ROBOTS,12,Kento Akama
Cyril Nesmith II,OSAKA EVESSA,23,Cyril Nesmith II
Davon Reed,KOSHIGAYA ALPHAS,9,Davon Reed
Takuma Sato,NAGOYA DIAMOND DOLPHINS,14,Takuma Sato
