Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
FIGHTING EAGLES NAGOYA,Mylo Murphy,15,Mylo Murphy,9,3.6,32.5,7.0,0.8,3.0,12.0,25,0.0,1.0,0,1.0,2.0,50,2.0,0.0,2.0,1.0,0.0,0.0,6.0,9.0,16.2,26.6,0.2,0.0,0.0,2,9.0,1.0,0.2,1,1.0,1,2,26.6,2.9,1,-27.04,-22.9,-4.14,3.0,4.6,2.0,1.0,50,9.0,2.0,22.2,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0
SENDAI 89ERS,Rowa Tanno,77,Rowa Tanno,9,0.2,1.4,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-40.0,-28.64,-11.35,3.0,4.1,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYUKYU GOLDEN KINGS,Andrew Randall,7,Andrew Randall,8,23.2,185.6,86.0,10.8,26.0,57.0,45.6,2.0,16.0,12.5,32.0,42.0,76.2,7.0,23.0,30.0,19.0,9.0,1.0,7.0,8.0,72.5,22.5,1.8,0.4,0.6,46,132.0,16.5,2.8,2,0.7,4,2,20.5,4.9,3,5.82,-0.2,6.03,2.5,2.8,6.0,5.0,83.3,35.0,19.0,54.3,16.0,2.0,12.5,3.0,2.0,0.0,0.0,0.0,7.0,14.0,19.0,25.0
SHIMANE SUSANOO MAGIC,Olufemi Olujobi,0,Olufemi Olujobi,8,20.0,160.3,83.0,10.4,25.0,64.0,39.1,10.0,30.0,33.3,23.0,32.0,71.9,10.0,24.0,34.0,10.0,4.0,2.0,11.0,11.0,75.9,25.7,1.9,0.2,0.8,20,103.0,12.9,2.3,3,3.0,1,1,104.2,1.4,1,-1.48,-3.67,2.19,4.0,3.4,4.0,3.0,75,30.0,12.0,40,30.0,10.0,33.3,3.0,2.0,0.0,0.0,0.0,9.0,18.0,2.0,14.0
SAN-EN NEOPHOENIX,Jordan Dallas,22,Jordan Dallas,8,11.3,90.2,12.0,1.5,3.0,14.0,21.4,2.0,9.0,22.2,4.0,4.0,100,5.0,15.0,20.0,3.0,0.0,3.0,2.0,9.0,12.2,7.3,0.3,0.1,0.4,6,18.0,2.2,0.4,0,0,0,0,0,0.0,0,-4.84,-7.12,2.28,4.4,5.0,0.0,0.0,0,5.0,1.0,20,9.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
YOKOHAMA B-CORSAIRS,Nagi Sato,11,Nagi Sato,8,0.7,5.5,2.0,0.2,1.0,5.0,20,0.0,1.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.8,48.8,0.0,0.0,0.0,13,15.0,1.9,0.3,0,0,0,0,0,0.0,0,-23.22,-24.18,0.95,2.9,4.2,1.0,0.0,0,3.0,1.0,33.3,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
RYUKYU GOLDEN KINGS,Keve Aluma,12,Keve Aluma,7,19.9,139.6,77.0,11.0,27.0,60.0,45,9.0,30.0,30,14.0,18.0,77.8,8.0,21.0,29.0,9.0,5.0,3.0,14.0,16.0,71.0,29.3,1.7,0.2,0.6,21,98.0,14.0,2.1,5,1.2,7,1,33.6,8.4,4,2.22,-2.44,4.66,3.6,3.0,8.0,7.0,87.5,22.0,11.0,50,30.0,9.0,30,4.0,0.0,0.0,0.0,0.0,12.0,15.0,9.0,22.0
OSAKA EVESSA,Joshua Smith,34,Joshua Smith,7,8.4,59.0,23.0,3.3,7.0,16.0,43.8,0.0,1.0,0,9.0,14.0,64.3,2.0,17.0,19.0,4.0,3.0,0.0,10.0,14.0,29.0,26.6,0.5,0.1,0.4,10,33.0,4.7,0.7,0,0,0,0,0,0.0,0,-10.4,-14.68,4.28,4.0,3.9,0.0,0.0,0,15.0,7.0,46.7,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0
ALVARK TOKYO,Steve Zack,00,Steve Zack,7,14.0,97.7,17.0,2.4,6.0,15.0,40,0.0,0.0,0,5.0,16.0,31.2,6.0,8.0,14.0,11.0,5.0,0.0,5.0,23.0,20.2,11.4,0.4,0.2,0.3,25,42.0,6.0,0.9,7,7.0,2,6,75.4,4.6,1,-5.78,-10.95,5.17,2.7,4.4,4.0,3.0,75,11.0,3.0,27.3,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
FIGHTING EAGLES NAGOYA,Mark Burton,1,Mark Burton,7,2.9,20.5,13.0,1.9,6.0,9.0,66.7,1.0,2.0,50,0.0,0.0,0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,9.6,25.0,0.3,0.0,0.0,4,17.0,2.4,0.4,0,0.0,1,0,0.0,1.0,1,-1.73,-6.41,4.68,3.1,2.9,2.0,2.0,100,5.0,3.0,60,2.0,1.0,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
LEVANGA HOKKAIDO,Kotaro Ando,19,Kotaro Ando,7,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-6.83,-6.21,-0.62,3.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNROCKERS SHIBUYA,Jordan Dallas,21,Jordan Dallas,7,1.0,7.2,0.0,0.0,0.0,2.0,0,0.0,2.0,0,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.9,15.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-18.49,-16.27,-2.22,3.3,4.3,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTSUNOMIYA BREX,Jamel Mclean,1,Jamel Mclean,6,13.7,82.4,27.0,4.5,10.0,32.0,31.2,0.0,5.0,0,7.0,13.0,53.8,10.0,14.0,24.0,4.0,7.0,1.0,6.0,11.0,32.4,21.7,0.6,0.1,0.5,12,39.0,6.5,0.9,0,0.0,1,0,0.0,1.0,1,-8.08,-10.41,2.33,3.7,4.9,6.0,5.0,83.3,21.0,5.0,23.8,5.0,0.0,0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,11.0
YOKOHAMA B-CORSAIRS,Cameron Jackson,11,Cameron Jackson,5,19.9,99.5,52.0,10.4,20.0,37.0,54.1,0.0,2.0,0,12.0,18.0,66.7,8.0,23.0,31.0,6.0,9.0,1.0,6.0,14.0,41.2,23.1,1.2,0.1,0.7,13,65.0,13.0,1.5,11,5.5,4,4,95.5,5.8,2,2.46,-3.45,5.92,4.0,3.1,8.0,6.0,75,27.0,14.0,51.9,2.0,0.0,0,2.0,0.0,0.0,0.0,0.0,3.0,13.0,15.0,18.0
CHIBA JETS,Kenny Lawson Jr,21,Kenny Lawson Jr,5,10.9,54.5,20.0,4.0,8.0,19.0,42.1,4.0,8.0,50,0.0,1.0,0,6.0,6.0,12.0,2.0,1.0,1.0,2.0,6.0,14.8,14.9,0.4,0.0,0.3,4,24.0,4.8,0.5,0,0.0,1,0,0.0,1.0,1,-1.38,-3.71,2.33,3.7,4.2,1.0,1.0,100,10.0,3.0,30,8.0,4.0,50,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,9.0
UTSUNOMIYA BREX,Justin Harper,32,Justin Harper,5,8.5,42.6,7.0,1.4,3.0,15.0,20,1.0,7.0,14.3,0.0,0.0,0,4.0,4.0,8.0,1.0,3.0,0.0,0.0,5.0,10.6,13.7,0.2,0.0,0.2,2,9.0,1.8,0.2,2,2.0,1,0,100.0,1.0,1,-9.34,-10.47,1.13,3.0,4.8,0.0,0.0,0,8.0,2.0,25,7.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
KYOTO HANNARYZ,Jamie Malonzo,9,Jamie Malonzo,5,6.0,30.2,6.0,1.2,2.0,7.0,28.6,0.0,2.0,0,2.0,4.0,50,1.0,4.0,5.0,2.0,2.0,0.0,2.0,7.0,9.4,17.3,0.1,0.0,0.1,2,8.0,1.6,0.2,0,0,0,0,0,0.0,0,-11.69,-15.65,3.96,3.1,4.4,0.0,0.0,0,5.0,2.0,40,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0
ALVARK TOKYO,Ira Brown,33,Ira Brown,5,13.4,66.8,5.0,1.0,2.0,7.0,28.6,1.0,4.0,25,0.0,1.0,0,2.0,7.0,9.0,5.0,1.0,4.0,3.0,9.0,8.1,6.7,0.1,0.1,0.2,10,15.0,3.0,0.3,2,2.0,2,1,41.0,2.4,1,-3.25,-9.03,5.78,3.9,4.6,1.0,0.0,0,2.0,1.0,50,4.0,1.0,25,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
ALVARK TOKYO,Jeffrey Parmer,4,Jeffrey Parmer,5,1.3,6.7,5.0,1.0,2.0,4.0,50,1.0,3.0,33.3,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8,31.8,0.1,0.0,0.0,0,5.0,1.0,0.1,0,0,0,0,0,0.0,0,6.95,4.14,2.81,3.3,3.8,0.0,0.0,0,1.0,1.0,100,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSAKA EVESSA,Koshiro Asai,51,Koshiro Asai,5,0.5,2.4,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-26.36,-19.7,-6.66,3.0,4.1,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOSHIGAYA ALPHAS,Davon Reed,9,Davon Reed,4,22.1,88.3,40.0,10.0,13.0,33.0,39.4,6.0,13.0,46.2,8.0,9.0,88.9,5.0,15.0,20.0,4.0,2.0,1.0,2.0,6.0,32.6,20.2,0.9,0.1,0.5,12,52.0,13.0,1.2,4,4.0,2,1,82.0,3.4,1,0.08,-2.5,2.59,4.0,3.6,2.0,1.0,50,18.0,6.0,33.3,13.0,6.0,46.2,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,4.0
KAWASAKI BRAVE THUNDERS,Shuntaro Buto,60,Shuntaro Buto,4,9.0,35.9,10.0,2.5,4.0,5.0,80,1.0,2.0,50,1.0,2.0,50,0.0,3.0,3.0,1.0,2.0,0.0,1.0,5.0,6.6,10.1,0.2,0.0,0.1,2,12.0,3.0,0.3,0,0,0,0,0,0.0,0,-1.61,-6.42,4.81,2.7,3.7,0.0,0.0,0,3.0,3.0,100,2.0,1.0,50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0
SHIMANE SUSANOO MAGIC,Hayate Kanayama,2,Hayate Kanayama,4,0.2,0.7,2.0,0.5,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0,2.0,0.5,0.0,0,0,0,0,0,0.0,0,68.29,51.15,17.14,3.0,3.7,0.0,0.0,0,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVARK TOKYO,FRANK KAMINSKY,44,FRANK KAMINSKY,3,18.2,54.7,21.0,7.0,7.0,21.0,33.3,6.0,13.0,46.2,1.0,2.0,50,2.0,8.0,10.0,2.0,0.0,0.0,4.0,4.0,22.9,23.1,0.5,0.0,0.2,4,25.0,8.3,0.5,3,3.0,2,0,75.0,2.0,1,-6.18,-6.45,0.27,3.5,4.3,0.0,0.0,0,8.0,1.0,12.5,13.0,6.0,46.2,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0
SHIGA LAKES,Keitaro Ohba,18,Keitaro Ohba,3,2.3,6.9,1.0,0.3,0.0,1.0,0,0.0,0.0,0,1.0,2.0,50,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,5.6,43.1,0.0,0.0,0.0,3,4.0,1.3,0.1,0,0,0,0,0,0.0,0,-29.55,-31.05,1.5,2.8,4.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
UTSUNOMIYA BREX,Shin Matsumoto,21,Shin Matsumoto,3,1.3,4.0,0.0,0.0,0.0,3.0,0,0.0,2.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.8,53.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-55.2,-40.54,-14.66,3.1,4.1,0.0,0.0,0,1.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LEVANGA HOKKAIDO,Jordan Ngatai,20,Jordan Ngatai,2,20.1,40.3,12.0,6.0,5.0,10.0,50,2.0,6.0,33.3,0.0,0.0,0,1.0,4.0,5.0,10.0,1.0,0.0,2.0,9.0,10.6,14.0,0.3,0.2,0.1,23,35.0,17.5,0.8,2,2.0,2,0,50.0,2.0,1,1.46,-2.65,4.11,2.4,2.9,2.0,2.0,100,2.0,1.0,50,6.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0
FIGHTING EAGLES NAGOYA,Riku Utsunomiya,9,Riku Utsunomiya,2,5.6,11.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,3.8,18.4,0.0,0.0,0.0,2,2.0,1.0,0.0,0,0,0,0,0,0.0,0,-28.88,-28.53,-0.35,3.0,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
