# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 466
# Qualified players exported: 338
# Total stints used: 27747
# Garbage time stints excluded: 944
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
ALVARK TOKYO,9,Shuto Ando,2508,-1.68,2.73,1.05
CHIBA JETS,12,Ren Kanechika,1672,0.13,0.87,1.0
YOKOHAMA B-CORSAIRS,30,Koya Sudo,1964,0.78,0.2,0.98
KYOTO HANNARYZ,10,Charles Jackson,2275,0.95,0.03,0.98
SEAHORSES MIKAWA,32,Avi Koki Schafer,1238,-0.6,1.55,0.95
UTSUNOMIYA BREX,18,Seiji Ikaruga,1114,0.15,0.8,0.95
FIGHTING EAGLES NAGOYA,6,Tyrell Taku Sudo,1341,-1.66,2.51,0.85
GUNMA CRANE THUNDERS,9,Naoto Tsuji,2139,2.44,-1.6,0.84
RYUKYU GOLDEN KINGS,15,Yoshiyuki Matsuwaki,2262,-0.23,1.06,0.82
IBARAKI ROBOTS,10,Ru Jingaoka,2117,1.11,-0.3,0.81
IBARAKI ROBOTS,13,Kohei Nakamura,1566,1.63,-0.86,0.77
FIGHTING EAGLES NAGOYA,3,Narito Namizato,2198,2.02,-1.28,0.74
SHIGA LAKES,17,Kohei Tsuneta,1821,0.32,0.39,0.72
SENDAI 89ERS,45,Nathan Boothe,2568,0.52,0.2,0.71
UTSUNOMIYA BREX,17,Kaisei Hoshikawa,359,-0.85,1.54,0.69
LEVANGA HOKKAIDO,6,Hiroto Kikuchi,1159,-0.69,1.36,0.67
SHIGA LAKES,6,Taiki Okada,1529,-0.52,1.14,0.63
LEVANGA HOKKAIDO,30,Keisei Tominaga,2959,2.06,-1.45,0.6
ALTIRI CHIBA,33,Luke Evans,2207,-3.57,4.02,0.45
OSAKA EVESSA,60,Seiga Sakamoto,1783,0.97,-0.53,0.44
HIROSHIMA DRAGONFLIES,8,Christopher Smith,2881,1.5,-1.07,0.43
YOKOHAMA B-CORSAIRS,23,Kai King,1529,-0.07,0.38,0.31
OSAKA EVESSA,11,Ryan Luther,2675,2.03,-1.77,0.26
AKITA NORTHERN HAPPINETS,5,Shigehiro Taguchi,380,0.74,-0.52,0.22
KOSHIGAYA ALPHAS,5,Anthony Clemmons,3094,-2.26,2.46,0.2
IBARAKI ROBOTS,1,Genki Kojima,664,0.76,-0.6,0.15
SENDAI 89ERS,7,Seiya Funyu,2101,2.48,-2.35,0.13
NAGOYA DIAMOND DOLPHINS,4,Hiyuu Ozawa,694,-3.13,3.23,0.11
ALTIRI CHIBA,1,Marial Shayok,516,-1.3,1.34,0.04
SENDAI 89ERS,14,Yusei Sugiura,1470,-1.6,1.63,0.03
SUNROCKERS SHIBUYA,9,Leo Vendrame,2226,-0.57,0.58,0.01
SHIMANE SUSANOO MAGIC,15,Ryosuke Shirahama,975,-2.36,2.35,-0.01
SEAHORSES MIKAWA,10,Jake Layman,2969,2.22,-2.25,-0.03
KAWASAKI BRAVE THUNDERS,25,Rosco Allen,2747,1.24,-1.27,-0.03
GUNMA CRANE THUNDERS,29,Kazuki Hosokawa,2458,2.59,-2.64,-0.06
KOSHIGAYA ALPHAS,45,Sekou Doumbouya,1975,-0.86,0.8,-0.06
TOYAMA GROUSES,24,Yannis Morin,2519,-5.06,4.86,-0.2
RYUKYU GOLDEN KINGS,7,Andrew Randall,311,1.38,-1.68,-0.31
YOKOHAMA B-CORSAIRS,18,Kenta Morii,1776,0.72,-1.19,-0.47
TOYAMA GROUSES,12,Brock Motum,3050,2.07,-2.55,-0.49
UTSUNOMIYA BREX,42,Isaac Fotu,2322,2.01,-2.55,-0.54
SAN-EN NEOPHOENIX,20,Dai Nemoto,1545,-1.76,1.22,-0.54
LEVANGA HOKKAIDO,29,Max Hisatake,618,-1.58,1.03,-0.55
KAWASAKI BRAVE THUNDERS,13,Shota Tsuyama,2572,0.59,-1.16,-0.57
SAN-EN NEOPHOENIX,7,Cameron Jackson,1308,2.29,-2.86,-0.57
IBARAKI ROBOTS,30,Tim Schneider,763,0.81,-1.47,-0.65
RYUKYU GOLDEN KINGS,8,Ryo Sadohara,2038,-0.34,-0.35,-0.69
IBARAKI ROBOTS,21,Eric Jacobsen,3097,-2.49,1.77,-0.72
LEVANGA HOKKAIDO,12,Shuto Ichiba,1743,1.67,-2.42,-0.75
LEVANGA HOKKAIDO,8,Yu Kibayashi,459,0.41,-1.17,-0.76
GUNMA CRANE THUNDERS,0,Yuma Fujii,2412,-0.97,0.2,-0.76
KAWASAKI BRAVE THUNDERS,3,Kanta Mizuno,794,-1.21,0.43,-0.78
CHIBA JETS,15,Garrison Brooks,938,-0.87,0.06,-0.8
ALVARK TOKYO,5,Hiromu Nakamura,959,-0.64,-0.17,-0.81
AKITA NORTHERN HAPPINETS,18,Yori Iwaya,326,-1.38,0.54,-0.84
AKITA NORTHERN HAPPINETS,10,Yanni Wetzell,2917,-2.29,1.41,-0.87
TOYAMA GROUSES,7,Kazuki Miyamoto,1712,1.07,-1.96,-0.89
AKITA NORTHERN HAPPINETS,27,Angelo Chol,479,-2.11,1.16,-0.95
TOYAMA GROUSES,9,Takeshi Mito,535,-3.71,2.73,-0.98
UTSUNOMIYA BREX,34,Grant Jerrett,2110,1.45,-2.47,-1.02
GUNMA CRANE THUNDERS,6,Takuto Nakamura,2181,-2.54,1.51,-1.03
YOKOHAMA B-CORSAIRS,8,Gary Clark,2541,0.01,-1.07,-1.05
KYOTO HANNARYZ,12,Asato Ogawa,2292,-0.14,-0.95,-1.09
AKITA NORTHERN HAPPINETS,1,Jamel Mclean,911,0.4,-1.51,-1.12
OSAKA EVESSA,5,Matt Bonds,3063,1.57,-2.75,-1.18
SHIMANE SUSANOO MAGIC,11,Taichi Nakamura,2333,-0.44,-0.77,-1.21
TOYAMA GROUSES,3,Yuzo Okada,2704,-1.96,0.72,-1.24
NAGOYA DIAMOND DOLPHINS,12,Taito Nakahigashi,1479,-0.32,-0.97,-1.3
KOSHIGAYA ALPHAS,12,Yuichi Ikeda,2089,-2.31,0.99,-1.32
SAN-EN NEOPHOENIX,11,Hideya Asai,656,-2.4,1.08,-1.32
SHIMANE SUSANOO MAGIC,7,Anthony Sho Sukegawa,1329,0.43,-1.78,-1.36
